	auctionStimValue	auctionCondition	chosenAuctionAmount	subcode
736	0.5	stop	147.0	sub-056
737	0.5	stop	156.0	sub-056
738	4.0	stop	196.0	sub-056
739	0.5	go	216.0	sub-056
740	4.0	stop	176.0	sub-056
741	0.5	stop	170.0	sub-056
742	1.0	go	102.0	sub-056
743	1.0	stop	162.0	sub-056
744	2.0	go	176.0	sub-056
745	0.5	stop	176.0	sub-056
746	0.5	go	176.0	sub-056
747	1.0	go	156.0	sub-056
748	1.0	stop	245.0	sub-056
749	2.0	go	117.0	sub-056
750	4.0	go	156.0	sub-056
751	2.0	go	196.0	sub-056
752	2.0	stop	176.0	sub-056
753	2.0	stop	117.0	sub-056
754	2.0	stop	176.0	sub-056
755	1.0	go	117.0	sub-056
756	1.0	go	176.0	sub-056
757	1.0	go	196.0	sub-056
758	4.0	go	170.0	sub-056
759	1.0	stop	170.0	sub-056
760	2.0	stop	156.0	sub-056
761	0.5	stop	176.0	sub-056
762	0.5	stop	147.0	sub-056
763	4.0	go	136.0	sub-056
764	1.0	go	147.0	sub-056
765	0.5	stop	156.0	sub-056
766	0.5	go	170.0	sub-056
767	1.0	stop	176.0	sub-056
768	4.0	go	176.0	sub-056
769	4.0	go	176.0	sub-056
770	2.0	go	196.0	sub-056
771	4.0	stop	156.0	sub-056
772	1.0	go	162.0	sub-056
773	0.5	stop	162.0	sub-056
774	0.5	go	170.0	sub-056
775	0.5	go	162.0	sub-056
776	0.5	go	245.0	sub-056
777	4.0	stop	156.0	sub-056
778	2.0	go	156.0	sub-056
779	4.0	stop	176.0	sub-056
780	2.0	go	170.0	sub-056
781	4.0	go	147.0	sub-056
782	1.0	go	176.0	sub-056
783	1.0	stop	147.0	sub-056
784	1.0	stop	136.0	sub-056
785	2.0	go	162.0	sub-056
786	1.0	go	162.0	sub-056
787	1.0	stop	156.0	sub-056
788	0.5	go	147.0	sub-056
789	2.0	stop	136.0	sub-056
790	2.0	go	136.0	sub-056
791	4.0	go	162.0	sub-056
792	1.0	go	136.0	sub-056
793	4.0	stop	136.0	sub-056
794	2.0	go	162.0	sub-056
795	4.0	go	162.0	sub-056
716	0.5	stop	0.0	sub-057
717	2.0	stop	196.0	sub-057
718	2.0	stop	68.0	sub-057
719	4.0	go	34.0	sub-057
720	2.0	go	88.0	sub-057
721	4.0	go	220.0	sub-057
722	2.0	go	98.0	sub-057
723	0.5	stop	49.0	sub-057
724	0.5	stop	78.0	sub-057
725	1.0	stop	245.0	sub-057
726	1.0	stop	39.0	sub-057
727	2.0	stop	117.0	sub-057
728	4.0	stop	204.0	sub-057
729	0.5	stop	108.0	sub-057
730	1.0	go	170.0	sub-057
731	0.5	go	54.0	sub-057
732	4.0	go	245.0	sub-057
733	0.5	go	34.0	sub-057
734	1.0	stop	132.0	sub-057
735	2.0	stop	170.0	sub-057
736	4.0	stop	324.0	sub-057
737	4.0	stop	270.0	sub-057
738	2.0	go	44.0	sub-057
739	2.0	stop	132.0	sub-057
740	1.0	stop	68.0	sub-057
741	1.0	go	195.0	sub-057
742	4.0	stop	264.0	sub-057
743	2.0	stop	39.0	sub-057
744	2.0	stop	54.0	sub-057
745	0.5	stop	88.0	sub-057
746	2.0	stop	220.0	sub-057
747	1.0	stop	68.0	sub-057
748	4.0	go	204.0	sub-057
749	4.0	stop	220.0	sub-057
750	1.0	go	117.0	sub-057
751	2.0	go	68.0	sub-057
752	2.0	stop	270.0	sub-057
753	1.0	go	196.0	sub-057
754	2.0	go	34.0	sub-057
755	1.0	stop	49.0	sub-057
756	0.5	go	78.0	sub-057
757	0.5	go	68.0	sub-057
758	0.5	stop	78.0	sub-057
759	1.0	go	162.0	sub-057
760	1.0	go	176.0	sub-057
761	2.0	go	39.0	sub-057
762	1.0	go	204.0	sub-057
763	4.0	go	234.0	sub-057
764	1.0	go	88.0	sub-057
765	1.0	stop	44.0	sub-057
766	4.0	stop	204.0	sub-057
767	1.0	stop	195.0	sub-057
768	4.0	stop	195.0	sub-057
769	0.5	go	78.0	sub-057
770	4.0	go	234.0	sub-057
771	4.0	go	216.0	sub-057
772	4.0	stop	245.0	sub-057
773	0.5	stop	176.0	sub-057
774	0.5	go	49.0	sub-057
775	2.0	go	54.0	sub-057
776	0.5	go	196.0	sub-057
777	0.5	go	88.0	sub-057
778	2.0	go	98.0	sub-057
779	1.0	go	147.0	sub-057
780	0.5	go	88.0	sub-057
781	4.0	go	294.0	sub-057
782	4.0	stop	234.0	sub-057
783	1.0	go	216.0	sub-057
784	1.0	stop	54.0	sub-057
785	4.0	stop	294.0	sub-057
786	0.5	stop	54.0	sub-057
787	0.5	stop	170.0	sub-057
788	2.0	go	39.0	sub-057
789	0.5	go	54.0	sub-057
790	4.0	go	264.0	sub-057
791	0.5	stop	196.0	sub-057
792	2.0	go	54.0	sub-057
793	4.0	go	324.0	sub-057
794	2.0	stop	294.0	sub-057
795	1.0	stop	54.0	sub-057
716	4.0	go	68.0	sub-062
717	2.0	stop	132.0	sub-062
718	0.5	go	324.0	sub-062
719	2.0	stop	170.0	sub-062
720	4.0	stop	170.0	sub-062
721	0.5	stop	245.0	sub-062
722	1.0	go	270.0	sub-062
723	2.0	go	245.0	sub-062
724	0.5	go	195.0	sub-062
725	2.0	stop	216.0	sub-062
726	0.5	go	196.0	sub-062
727	4.0	go	132.0	sub-062
728	1.0	stop	132.0	sub-062
729	1.0	stop	204.0	sub-062
730	0.5	go	162.0	sub-062
731	2.0	stop	98.0	sub-062
732	0.5	go	68.0	sub-062
733	1.0	stop	117.0	sub-062
734	4.0	stop	162.0	sub-062
735	1.0	stop	132.0	sub-062
736	0.5	stop	162.0	sub-062
737	1.0	go	117.0	sub-062
738	1.0	go	117.0	sub-062
739	1.0	go	102.0	sub-062
740	4.0	stop	132.0	sub-062
741	1.0	stop	108.0	sub-062
742	2.0	go	195.0	sub-062
743	2.0	stop	147.0	sub-062
744	0.5	stop	176.0	sub-062
745	1.0	stop	234.0	sub-062
746	4.0	stop	176.0	sub-062
747	4.0	stop	156.0	sub-062
748	4.0	stop	170.0	sub-062
749	4.0	go	195.0	sub-062
750	0.5	stop	78.0	sub-062
751	1.0	go	102.0	sub-062
752	1.0	stop	98.0	sub-062
753	0.5	stop	204.0	sub-062
754	1.0	go	44.0	sub-062
755	0.5	go	88.0	sub-062
756	2.0	go	132.0	sub-062
757	0.5	stop	78.0	sub-062
758	0.5	stop	264.0	sub-062
759	0.5	stop	162.0	sub-062
760	0.5	go	195.0	sub-062
761	1.0	go	245.0	sub-062
762	1.0	go	108.0	sub-062
763	2.0	go	136.0	sub-062
764	0.5	stop	196.0	sub-062
765	0.5	go	147.0	sub-062
766	2.0	go	196.0	sub-062
767	1.0	stop	170.0	sub-062
768	4.0	stop	98.0	sub-062
769	2.0	go	162.0	sub-062
770	4.0	stop	156.0	sub-062
771	4.0	go	270.0	sub-062
772	2.0	go	132.0	sub-062
773	1.0	go	147.0	sub-062
774	4.0	go	294.0	sub-062
775	4.0	go	234.0	sub-062
776	4.0	stop	270.0	sub-062
777	4.0	go	147.0	sub-062
778	4.0	go	108.0	sub-062
779	4.0	go	176.0	sub-062
780	2.0	stop	264.0	sub-062
781	0.5	go	68.0	sub-062
782	2.0	stop	156.0	sub-062
783	2.0	go	117.0	sub-062
784	2.0	stop	270.0	sub-062
785	1.0	go	132.0	sub-062
786	0.5	go	220.0	sub-062
787	2.0	stop	195.0	sub-062
788	0.5	stop	204.0	sub-062
789	2.0	go	204.0	sub-062
790	2.0	stop	68.0	sub-062
791	1.0	stop	294.0	sub-062
792	4.0	go	136.0	sub-062
793	4.0	stop	147.0	sub-062
794	1.0	stop	270.0	sub-062
795	2.0	go	162.0	sub-062
716	2.0	stop	204.0	sub-063
717	4.0	go	324.0	sub-063
718	0.5	stop	88.0	sub-063
719	1.0	stop	195.0	sub-063
720	4.0	go	245.0	sub-063
721	1.0	stop	162.0	sub-063
722	4.0	go	234.0	sub-063
723	0.5	go	108.0	sub-063
724	0.5	go	98.0	sub-063
725	1.0	stop	204.0	sub-063
726	0.5	stop	78.0	sub-063
727	0.5	go	132.0	sub-063
728	4.0	go	234.0	sub-063
729	1.0	go	162.0	sub-063
730	2.0	stop	156.0	sub-063
731	0.5	stop	132.0	sub-063
732	2.0	go	176.0	sub-063
733	1.0	stop	176.0	sub-063
734	2.0	go	204.0	sub-063
735	4.0	go	204.0	sub-063
736	2.0	stop	162.0	sub-063
737	1.0	stop	196.0	sub-063
738	2.0	go	147.0	sub-063
739	2.0	go	108.0	sub-063
740	1.0	stop	196.0	sub-063
741	2.0	stop	147.0	sub-063
742	2.0	go	88.0	sub-063
743	4.0	stop	220.0	sub-063
744	4.0	stop	245.0	sub-063
745	2.0	go	117.0	sub-063
746	4.0	stop	270.0	sub-063
747	0.5	stop	98.0	sub-063
748	4.0	stop	234.0	sub-063
749	0.5	stop	102.0	sub-063
750	0.5	go	102.0	sub-063
751	0.5	go	102.0	sub-063
752	1.0	go	245.0	sub-063
753	2.0	go	98.0	sub-063
754	4.0	go	294.0	sub-063
755	2.0	stop	156.0	sub-063
756	0.5	go	108.0	sub-063
757	4.0	stop	234.0	sub-063
758	0.5	stop	108.0	sub-063
759	1.0	stop	195.0	sub-063
760	0.5	stop	102.0	sub-063
761	1.0	stop	216.0	sub-063
762	4.0	stop	204.0	sub-063
763	1.0	stop	204.0	sub-063
764	1.0	stop	176.0	sub-063
765	4.0	stop	245.0	sub-063
766	1.0	go	170.0	sub-063
767	1.0	go	176.0	sub-063
768	1.0	go	170.0	sub-063
769	1.0	go	156.0	sub-063
770	0.5	stop	108.0	sub-063
771	4.0	stop	270.0	sub-063
772	4.0	go	324.0	sub-063
773	2.0	stop	176.0	sub-063
774	0.5	stop	117.0	sub-063
775	1.0	go	156.0	sub-063
776	2.0	stop	162.0	sub-063
777	2.0	go	117.0	sub-063
778	2.0	stop	170.0	sub-063
779	0.5	stop	98.0	sub-063
780	0.5	go	88.0	sub-063
781	2.0	stop	176.0	sub-063
782	0.5	go	117.0	sub-063
783	1.0	go	216.0	sub-063
784	1.0	go	196.0	sub-063
785	2.0	go	162.0	sub-063
786	0.5	go	98.0	sub-063
787	4.0	stop	204.0	sub-063
788	2.0	go	170.0	sub-063
789	4.0	go	204.0	sub-063
790	2.0	stop	196.0	sub-063
791	4.0	go	264.0	sub-063
792	4.0	go	264.0	sub-063
793	1.0	go	176.0	sub-063
794	4.0	stop	264.0	sub-063
795	0.5	go	117.0	sub-063
716	1.0	go	0.0	sub-75
717	0.5	stop	68.0	sub-75
718	0.5	go	34.0	sub-75
719	4.0	stop	44.0	sub-75
720	0.5	go	54.0	sub-75
721	2.0	stop	216.0	sub-75
722	2.0	go	264.0	sub-75
723	0.5	go	0.0	sub-75
724	4.0	stop	234.0	sub-75
725	0.5	stop	0.0	sub-75
726	1.0	stop	34.0	sub-75
727	1.0	go	234.0	sub-75
728	0.5	stop	170.0	sub-75
729	4.0	go	264.0	sub-75
730	1.0	go	147.0	sub-75
731	4.0	go	324.0	sub-75
732	2.0	go	195.0	sub-75
733	1.0	stop	49.0	sub-75
734	4.0	stop	324.0	sub-75
735	1.0	stop	98.0	sub-75
736	4.0	go	264.0	sub-75
737	4.0	go	294.0	sub-75
738	0.5	go	39.0	sub-75
739	4.0	stop	294.0	sub-75
740	0.5	stop	39.0	sub-75
741	0.5	go	49.0	sub-75
742	4.0	stop	204.0	sub-75
743	2.0	stop	195.0	sub-75
744	2.0	stop	170.0	sub-75
745	0.5	go	39.0	sub-75
746	0.5	stop	176.0	sub-75
747	2.0	stop	196.0	sub-75
748	0.5	go	44.0	sub-75
749	0.5	stop	196.0	sub-75
750	4.0	stop	264.0	sub-75
751	4.0	go	234.0	sub-75
752	4.0	stop	270.0	sub-75
753	4.0	go	234.0	sub-75
754	4.0	go	324.0	sub-75
755	2.0	go	162.0	sub-75
756	1.0	go	117.0	sub-75
757	2.0	stop	176.0	sub-75
758	0.5	go	44.0	sub-75
759	2.0	stop	170.0	sub-75
760	0.5	stop	132.0	sub-75
761	0.5	stop	108.0	sub-75
762	4.0	go	204.0	sub-75
763	1.0	stop	132.0	sub-75
764	4.0	go	294.0	sub-75
765	2.0	stop	294.0	sub-75
766	2.0	go	68.0	sub-75
767	1.0	stop	108.0	sub-75
768	1.0	go	196.0	sub-75
769	2.0	go	0.0	sub-75
770	2.0	stop	176.0	sub-75
771	1.0	go	204.0	sub-75
772	4.0	stop	294.0	sub-75
773	1.0	stop	54.0	sub-75
774	4.0	stop	234.0	sub-75
775	0.5	go	49.0	sub-75
776	0.5	stop	54.0	sub-75
777	2.0	go	162.0	sub-75
778	2.0	stop	162.0	sub-75
779	1.0	stop	78.0	sub-75
780	4.0	stop	204.0	sub-75
781	4.0	go	204.0	sub-75
782	2.0	stop	156.0	sub-75
783	2.0	go	0.0	sub-75
784	2.0	go	147.0	sub-75
785	1.0	stop	88.0	sub-75
