	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
257	200.0	s	-200.0																	2.0	0.0	2.0	0.0	8.0	0.0	32.0	2.0																													s	1.0	0.35126900672899997	None	0.0	0.5	diamondwhite.gif	go																								0.49	0.514452934265	0.00088095664978	0.35126900672899997	1.0	s	993.1382338999999																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
258	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	8.0	1.0	33.0	3.0																													a	1.0	0.40077710151699997	None	0.0	1.0	trianglegreen.gif	stop																								1.08	0.513761043549	0.0009059906005860001	0.40077710151699997	1.0	a	996.1409990789999																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
259	200.0	w	200.0																	2.0	0.0	2.0	0.0	8.0	2.0	34.0	0.0																													w	1.0	0.33417415618900004	None	0.0	1.0	crossblue.gif	go																								1.01	0.514617919922	0.0009069442749019998	0.33417415618900004	1.0	w	999.1445379260001																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
260	200.0	s	-200.0																	2.0	0.0	2.0	0.0	8.0	3.0	35.0	2.0																													s	1.0	0.367365121841	None	0.0	0.5	diamondwhite.gif	go																								0.74	0.514590978622	0.0008749961853029999	0.367365121841	1.0	s	1002.14787197																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
261	200.0	s	-200.0																	2.0	0.0	2.0	0.0	9.0	0.0	36.0	2.0																													s	1.0	0.367331027985	None	0.0	1.0	crossblue.gif	go																								0.0	0.514409065247	0.000880002975464	0.367331027985	1.0	s	1005.15124488																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
262	200.0	w	200.0																	2.0	0.0	2.0	0.0	9.0	1.0	37.0	0.0																													w	1.0	0.38435602188100004	None	0.0	2.0	circlecyan.gif	go																								1.95	0.5140960216520001	0.00113201141357	0.38435602188100004	1.0	w	1008.15473199																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
263	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	9.0	2.0	38.0	3.0																													a	1.0	0.384088039398	None	0.0	0.5	diamondwhite.gif	go																								0.42	0.514484882355	0.00089693069458	0.384088039398	1.0	a	1011.15809894																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
264	-200.0	q	200.0																	2.0	0.0	2.0	0.0	9.0	3.0	39.0	1.0																													q	1.0	0.367176055908	None	0.0	0.5	hexagongray.gif	stop																								0.0	0.514575004578	0.0008831024169919999	0.367176055908	1.0	q	1014.16133904																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
265	200.0	w	200.0																	2.0	0.0	2.0	0.0	10.0	0.0	40.0	0.0																													w	1.0	0.551326990128	None	0.0	1.0	trianglegreen.gif	stop																								0.0	0.514209032059	0.000922918319702	0.551326990128	1.0	w	1017.16469407																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
266	-200.0	q	200.0																	2.0	0.0	2.0	0.0	10.0	1.0	41.0	1.0																													q	1.0	0.368001937866	None	0.0	4.0	squaremagenta.gif	stop																								3.82	0.5144450664519999	0.000869035720825	0.368001937866	1.0	q	1020.16825604																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
