	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
730																																									0.0	0.0	0.0	0.0	14.0	0.0	14.0	0.0																														3778.55079484													3784.55615997																																														i	3.9881718158699995	squarewhite.gif	[44, 176, 264, 132, 220, 88]	2.0	go	220.0	2.9869329929400004											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
731																																									0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0																														3784.55719995													3790.56306505																																														t	2.81951498985	crossorange.gif	[68, 102, 136, 204, 170, 34]	2.0	stop	102.0	1.8354201316799998											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
732																																									0.0	0.0	0.0	0.0	16.0	0.0	16.0	0.0																														3790.56442189													3796.56989789																																														u	5.757571935650001	squarewhite.gif	[98, 49, 196, 147, 245, 294]	2.0	go	147.0	4.75553202629											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
733																																									0.0	0.0	0.0	0.0	17.0	0.0	17.0	0.0																														3796.57119703													3802.57667494																																														r	5.77169203758	invertedtrianglegray.gif	[216, 270, 162, 324, 108, 54]	4.0	go	216.0	4.772048950199999											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
734																																									0.0	0.0	0.0	0.0	18.0	0.0	18.0	0.0																														3802.57771087													3808.58366799																																														o	3.9721848964699995	trianglemagenta.gif	[39, 234, 156, 78, 117, 195]	1.0	stop	195.0	2.97089982033											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
735																																									0.0	0.0	0.0	0.0	19.0	0.0	19.0	0.0																														3808.5847249													3814.59007788																																														u	4.288248062130001	diamondgreen.gif	[39, 156, 78, 195, 234, 117]	4.0	stop	195.0	3.2873249054											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
736																																									1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																														3822.60076594													3828.62241292																																														y	5.05388879776	circleblue.gif	[108, 54, 216, 324, 162, 270]	0.5	go	216.0	4.05454206467	9.0	5.59045886993									2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
737																																									1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0																														3828.62381792													3834.62900496																																														t	5.00625181198	hexagoncyan.gif	[234, 195, 78, 39, 156, 117]	1.0	go	195.0	4.00463294983											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
738																																									1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0																														3834.63003993													3840.63581896																																														None	5.97172808647	crossorange.gif	[324, 54, 162, 216, 270, 108]	2.0	stop	0.0												2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
739																																									1.0	0.0	1.0	0.0	3.0	0.0	3.0	0.0																														3840.63685799													3846.64270782																																														y	5.84050107002	invertedtrianglegray.gif	[78, 234, 195, 39, 156, 117]	4.0	go	195.0	4.83910179138											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
740																																									1.0	0.0	1.0	0.0	4.0	0.0	4.0	0.0																														3846.64375806													3852.64931083																																														y	4.88932800293	invertedtrianglegray.gif	[294, 98, 196, 245, 49, 147]	4.0	go	196.0	3.8878269195599997											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
741																																									1.0	0.0	1.0	0.0	5.0	0.0	5.0	0.0																														3852.65034986													3858.65598488																																														i	5.2218830585500005	hexagoncyan.gif	[88, 264, 44, 220, 176, 132]	1.0	go	176.0	4.2214548587800005											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
742																																									1.0	0.0	1.0	0.0	6.0	0.0	6.0	0.0																														3858.6571579000006													3864.66251493																																														r	5.20615792274	squarewhite.gif	[195, 117, 78, 39, 156, 234]	2.0	go	195.0	4.20458388329											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
743																																									1.0	0.0	1.0	0.0	7.0	0.0	7.0	0.0																														3864.66354489													3870.66943097																																														o	4.57289505005	diamondgreen.gif	[49, 245, 294, 147, 98, 196]	4.0	stop	196.0	3.5708680152900003											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
744																																									1.0	0.0	1.0	0.0	8.0	0.0	8.0	0.0																														3870.67103195													3876.67628288																																														o	5.872123956679999	diamondgreen.gif	[68, 204, 136, 102, 34, 170]	4.0	stop	170.0	4.872646093369999											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
745																																									1.0	0.0	1.0	0.0	9.0	0.0	9.0	0.0																														3876.67731094													3882.68266988																																														t	4.65436792374	trianglemagenta.gif	[324, 216, 108, 162, 54, 270]	1.0	stop	216.0	3.6542828082999996											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
746																																									1.0	0.0	1.0	0.0	10.0	0.0	10.0	0.0																														3882.68374395													3888.68965888																																														t	4.70497012138	hexagoncyan.gif	[147, 245, 294, 98, 196, 49]	1.0	go	245.0	3.72078800201											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
747																																									1.0	0.0	1.0	0.0	11.0	0.0	11.0	0.0																														3888.69073606													3894.69622588																																														i	4.00365495682	lineyellow.gif	[216, 162, 270, 108, 324, 54]	0.5	stop	324.0	3.00367617607											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
748																																									1.0	0.0	1.0	0.0	12.0	0.0	12.0	0.0																														3894.69727087													3900.70271897																																														i	5.773075103759999	lineyellow.gif	[34, 68, 170, 136, 102, 204]	0.5	stop	102.0	4.77229595184											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
749																																									1.0	0.0	1.0	0.0	13.0	0.0	13.0	0.0																														3900.70378184													3906.7096889																																														t	5.33878493309	diamondgreen.gif	[102, 204, 68, 34, 136, 170]	4.0	stop	204.0	4.33884906769											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
750																																									1.0	0.0	1.0	0.0	14.0	0.0	14.0	0.0																														3906.71085191													3912.71627903																																														o	4.83979511261	trianglemagenta.gif	[49, 147, 98, 294, 245, 196]	1.0	stop	196.0	3.8382158279400005											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
751																																									1.0	0.0	1.0	0.0	15.0	0.0	15.0	0.0																														3912.71733499													3918.72359204																																														i	3.08534598351	squarewhite.gif	[34, 102, 68, 136, 204, 170]	2.0	go	204.0	2.08522891998											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
752																																									1.0	0.0	1.0	0.0	16.0	0.0	16.0	0.0																														3918.72474194													3924.74654198																																														u	4.91899394989	trianglemagenta.gif	[117, 156, 234, 195, 78, 39]	1.0	stop	195.0	3.92042183876											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
753																																									1.0	0.0	1.0	0.0	17.0	0.0	17.0	0.0																														3924.74758101													3930.75304699																																														u	4.63805294037	invertedtrianglegray.gif	[136, 68, 34, 170, 204, 102]	4.0	go	170.0	3.6377468109099995											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
754																																									1.0	0.0	1.0	0.0	18.0	0.0	18.0	0.0																														3930.75413203													3936.75991297																																														o	5.65711379051	diamondgreen.gif	[117, 39, 234, 78, 156, 195]	4.0	stop	195.0	4.67150092125											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
755																																									1.0	0.0	1.0	0.0	19.0	0.0	19.0	0.0																														3936.76103997													3942.76679683																																														y	3.7690389156300004	lineyellow.gif	[102, 204, 170, 136, 34, 68]	0.5	stop	170.0	2.7698760032700003											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
756																																									2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0																														3947.64067388													3953.66189384																																														u	4.186799764630001	crossorange.gif	[220, 264, 44, 176, 132, 88]	2.0	stop	176.0	3.18685889244	9.0	2.43461108208									2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
757																																									2.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0																														3953.66329598													3959.66864896																																														r	3.93832206726	squarewhite.gif	[245, 294, 147, 196, 49, 98]	2.0	go	245.0	2.9372961521099996											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
758																																									2.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0																														3959.66970897													3965.675524																																														y	4.82283902168	squarewhite.gif	[132, 176, 220, 44, 264, 88]	2.0	go	220.0	3.82125806808											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
759																																									2.0	0.0	2.0	0.0	3.0	0.0	3.0	0.0																														3965.67657304													3971.68218994																																														r	4.3215398788499995	crossorange.gif	[117, 78, 234, 39, 156, 195]	2.0	stop	117.0	3.3201520443											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
760																																									2.0	0.0	2.0	0.0	4.0	0.0	4.0	0.0																														3971.68321896													3977.68925595																																														None	5.97257685661	hexagoncyan.gif	[108, 54, 324, 270, 216, 162]	1.0	go	0.0												2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
761																																									2.0	0.0	2.0	0.0	5.0	0.0	5.0	0.0																														3977.69063401													3983.6958189																																														y	2.9530150890400004	lineyellow.gif	[196, 245, 98, 294, 147, 49]	0.5	stop	98.0	1.95260882378											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
762																																									2.0	0.0	2.0	0.0	6.0	0.0	6.0	0.0																														3983.69693398													3989.70221996																																														i	3.7378320694	lineyellow.gif	[117, 156, 39, 234, 78, 195]	0.5	stop	78.0	2.7365469932599997											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
763																																									2.0	0.0	2.0	0.0	7.0	0.0	7.0	0.0																														3989.70327091													3995.70911384																																														o	4.53909111023	lineyellow.gif	[245, 196, 294, 49, 98, 147]	0.5	stop	147.0	3.5542111396800005											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
764																																									2.0	0.0	2.0	0.0	8.0	0.0	8.0	0.0																														3995.71023202													4001.71607304																																														o	3.65267801285	crossorange.gif	[34, 136, 170, 204, 68, 102]	2.0	stop	102.0	2.65290403366											2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
