	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_9.rt	key_resp_3.keys	key_resp_3.rt	feedbackResp.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
294	200.0	s	-200.0																	2.0	0.0	2.0	0.0	17.0	1.0	69.0	2.0																													s	1.0	0.36761403083800004	None	0.0	0.5	hexagoncyan.gif	go																										0.38	0.514297962189	0.000921964645386	0.367614030838	1.0	s	1135.87345886																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
295	200.0	s	-200.0																	2.0	0.0	2.0	0.0	17.0	2.0	70.0	2.0																													s	1.0	0.801306009293	None	0.0	0.5	hexagoncyan.gif	go																										0.53	0.514305114746	0.0008759498596189999	0.801306009293	1.0	s	1138.87704897																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
296	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	17.0	3.0	71.0	3.0																													a	1.0	0.334469079971	None	0.0	1.0	invertedtrianglegreen.gif	go																										0.94	0.51398396492	0.00119400024414	0.334469079971	1.0	a	1141.88051486																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
297	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	18.0	0.0	72.0	3.0																													a	1.0	0.45064806938199997	a	1.0	4.0	crossblue.gif	stop																									0.6429309844969999	3.88	0.5138900279999999	0.0008790493011469999	0.450648069382	1.0	a	1144.88362503																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
298	200.0	w	200.0																	2.0	0.0	2.0	0.0	18.0	1.0	73.0	0.0																													w	1.0	0.45102286338799996	None	0.0	2.0	trianglemagenta.gif	go																										0.0	0.514073848724	0.000885009765625	0.451022863388	1.0	w	1147.88696098																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
299	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	18.0	2.0	74.0	3.0																													a	1.0	0.38364505767800006	None	0.0	2.0	trianglemagenta.gif	go																										2.03	0.514604091644	0.0008740425109860002	0.383645057678	1.0	a	1150.89043093																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
300	200.0	w	200.0																	2.0	0.0	2.0	0.0	18.0	3.0	75.0	0.0																													w	1.0	0.351068019867	None	0.0	0.5	diamondyellow.gif	stop																										0.74	0.514230966568	0.0009331703186039999	0.351068019867	1.0	w	1153.8934319																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
301	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	19.0	0.0	76.0	3.0																													a	1.0	0.38428592681900003	None	0.0	1.0	invertedtrianglegreen.gif	go																										1.1	0.5144081115720001	0.00115418434143	0.384285926819	1.0	a	1156.8972249																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
302	-200.0	q	200.0																	2.0	0.0	2.0	0.0	19.0	1.0	77.0	1.0																													q	1.0	0.367722034454	None	0.0	1.0	invertedtrianglegreen.gif	go																										0.0	0.514019012451	0.0008740425109860002	0.367722034454	1.0	q	1159.90038705																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
303	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	19.0	2.0	78.0	3.0																													a	1.0	0.41759085655199996	None	0.0	0.5	diamondyellow.gif	stop																										0.56	0.5142741203310001	0.000938177108765	0.417590856552	1.0	a	1162.90334105																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
304	-200.0	q	200.0																	2.0	0.0	2.0	0.0	19.0	3.0	79.0	1.0																													q	1.0	0.350841999054	None	0.0	2.0	trianglemagenta.gif	go																										2.1	0.514508962631	0.00119805335999	0.350841999054	1.0	q	1165.90711284																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
305	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	20.0	0.0	80.0	3.0																													a	1.0	0.384068965912	None	0.0	0.5	diamondyellow.gif	stop																										0.33	0.514154911041	0.0008759498596189999	0.384068965912	1.0	a	1168.91038084																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
306	-200.0	q	200.0																	2.0	0.0	2.0	0.0	20.0	1.0	81.0	1.0																													q	1.0	0.41803693771399997	None	0.0	0.5	diamondyellow.gif	stop																										0.44	0.5141050815579999	0.000921964645386	0.418036937714	1.0	q	1171.91415286																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
307	200.0	w	200.0																	2.0	0.0	2.0	0.0	20.0	2.0	82.0	0.0																													w	1.0	0.467636108398	None	0.0	0.5	hexagoncyan.gif	go																										0.0	0.513928890228	0.000903844833374	0.467636108398	1.0	w	1174.91717982																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
308	200.0	w	200.0																	2.0	0.0	2.0	0.0	20.0	3.0	83.0	0.0																													w	1.0	0.418034076691	None	0.0	4.0	squarewhite.gif	go																										3.97	0.514358043671	0.00120401382446	0.418034076691	1.0	w	1177.92094493																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
309	200.0	s	-200.0																	2.0	0.0	2.0	0.0	21.0	0.0	84.0	2.0																													s	1.0	0.467415809631	None	0.0	2.0	trianglemagenta.gif	go																										0.0	0.513768196106	0.0009541511535639998	0.467415809631	1.0	s	1180.924119																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
310	-200.0	q	200.0																	2.0	0.0	2.0	0.0	21.0	1.0	85.0	1.0																													q	1.0	0.30073094368000003	None	0.0	0.5	diamondyellow.gif	stop																										0.0	0.514063119888	0.0008749961853029999	0.30073094368	1.0	q	1183.92718005																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
311	-200.0	q	200.0																	2.0	0.0	2.0	0.0	21.0	2.0	86.0	1.0																													q	1.0	0.9181799888609999	None	0.0	0.5	diamondyellow.gif	stop																										0.27	0.5142970085140001	0.0008721351623539999	0.918179988861	1.0	q	1186.93078399																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
312	200.0	s	-200.0																	2.0	0.0	2.0	0.0	21.0	3.0	87.0	2.0																													s	1.0	0.40123987197899996	None	0.0	0.5	diamondyellow.gif	stop																										0.53	0.5138461589810001	0.00088095664978	0.401239871979	1.0	s	1189.93424702																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
313	-200.0	q	200.0																	2.0	0.0	2.0	0.0	22.0	0.0	88.0	1.0																													q	1.0	0.400563955307	None	0.0	4.0	crossblue.gif	stop																										0.0	0.514176130295	0.0008740425109860002	[]	0.0	None	1192.93697405	4.0	0.5160310268399999	0.000934839248657	0.400563955307	1.0	q	1195.94059587																									2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
314	200.0	w	200.0																	2.0	0.0	2.0	0.0	22.0	1.0	89.0	0.0																													w	1.0	0.38381004333499996	None	0.0	0.5	diamondyellow.gif	stop																										0.66	0.514537096024	0.00117611885071	0.383810043335	1.0	w	1198.94378996																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
315	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	22.0	2.0	90.0	3.0																													a	1.0	0.48430204391500004	None	0.0	0.5	hexagoncyan.gif	go																										0.0	0.514475822449	0.0009047985076900001	0.484302043915	1.0	a	1201.94714284																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
316	200.0	w	200.0																	2.0	0.0	2.0	0.0	22.0	3.0	91.0	0.0																													w	1.0	0.334331989288	None	0.0	4.0	squarewhite.gif	go																										0.0	0.5143048763279999	0.0010440349578899998	0.334331989288	1.0	w	1204.95095301																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
317	200.0	w	200.0																	2.0	0.0	2.0	0.0	23.0	0.0	92.0	0.0																													w	1.0	0.35059595108	None	0.0	4.0	squarewhite.gif	go																										4.17	0.514023065567	0.00088095664978	0.35059595108	1.0	w	1207.95400691																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
318	-200.0	q	200.0																	2.0	0.0	2.0	0.0	23.0	1.0	93.0	1.0																													q	1.0	0.451179027557	None	0.0	4.0	crossblue.gif	stop																										3.9	0.514100074768	0.0009350776672360002	0.451179027557	1.0	q	1210.95731187																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
319	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	23.0	2.0	94.0	3.0																													a	1.0	0.400763034821	None	0.0	1.0	circleorange.gif	stop																										0.81	0.5141038894650001	0.0009529590606689998	0.400763034821	1.0	a	1213.96069288																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
320	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	23.0	3.0	95.0	3.0																													a	1.0	0.584454059601	None	0.0	4.0	crossblue.gif	stop																										4.13	0.514427900314	0.0008759498596189999	0.584454059601	1.0	a	1216.96397996																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
321	-200.0	q	200.0																	2.0	0.0	2.0	0.0	24.0	0.0	96.0	1.0																													q	1.0	0.58456492424	None	0.0	0.5	diamondyellow.gif	stop																										0.34	0.514164209366	0.0009291172027589999	0.58456492424	1.0	q	1219.96769691																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
322	200.0	s	-200.0																	2.0	0.0	2.0	0.0	24.0	1.0	97.0	2.0																													s	1.0	0.40170907974200004	None	0.0	2.0	trianglemagenta.gif	go																										2.05	0.513433933258	0.000997066497803	0.401709079742	1.0	s	1222.97049189																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
323	200.0	w	200.0																	2.0	0.0	2.0	0.0	24.0	2.0	98.0	0.0																													w	1.0	0.367086172104	None	0.0	0.5	hexagoncyan.gif	go																										0.29	0.5148580074310001	0.0008869171142580001	0.367086172104	1.0	w	1225.97424197																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
324	-200.0	q	200.0																	2.0	0.0	2.0	0.0	24.0	3.0	99.0	1.0																													q	1.0	0.517456054688	None	0.0	1.0	invertedtrianglegreen.gif	go																										1.18	0.514051914215	0.0008831024169919999	0.517456054688	1.0	q	1228.97788286																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
325																				2.0	0.0	2.0	0.0																																																																																9.0	208.892812967																							2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
326	-200.0	q	200.0																	3.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0																													q	1.0	0.834845066071	None	0.0	1.0	invertedtrianglegreen.gif	go																										0.0	0.504319906235	0.009670019149780001	0.834845066071	1.0	q	1441.84913683																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
327	-200.0	q	200.0																	3.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0																													q	1.0	0.350828886032	None	0.0	2.0	linegray.gif	stop																										1.96	0.513943910599	0.025408029556299998	0.350828886032	1.0	q	1444.85211897																																2015_Jul_02_1354	59.89603920810001	LearningTask	1	75	
