	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
704				m	0.0	200.0																											7.0	0.0	7.0	0.0	12.0	1.0	25.0	1.0																															2801.46516585	go	crossgreen.gif	go	0.5	m	1.0	0.718454837799	None	0.0	0.000931024551392	0.514991044998		2804.46817088																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
705				m	0.0	200.0																											7.0	0.0	7.0	0.0	13.0	0.0	26.0	1.0																															2804.46868086	go	invertedtrianglewhite.gif	go	2.0	m	1.0	0.801240921021	None	0.0	0.0009379386901860002	0.514778137207		2807.47149205																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
706				z	0.0	-200.0																											7.0	0.0	7.0	0.0	13.0	1.0	27.0	0.0																															2807.4720099	go	linecyan.gif	go	1.0	z	1.0	0.717936038971	None	0.0	0.000949144363403	0.514667987823		2810.47456598																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
707				z	0.0	-200.0																											7.0	0.0	7.0	0.0	14.0	0.0	28.0	0.0																															2810.47507095	stop	triangleorange.gif	stop	2.0	z	1.0	0.7507569789890001	None	0.0	0.0009751319885249999	0.515409946442	1.06553196907	2813.4782269																											0.55	0.5																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
708				m	0.0	200.0																											7.0	0.0	7.0	0.0	14.0	1.0	29.0	1.0																															2813.47874093	stop	triangleorange.gif	stop	2.0	None	0.0		None	0.0	0.00094199180603	0.514842033386	0.965092897415	2816.481529																											0.45	0.5																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
709				m	0.0	200.0																											7.0	0.0	7.0	0.0	15.0	0.0	30.0	1.0																															2816.48203397	stop	squareblue.gif	stop	1.0	m	1.0	0.567425966263	None	0.0	0.0009250640869139999	0.51513004303	1.01620101929	2819.484586																											0.5	0.45																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
710				m	0.0	200.0																											7.0	0.0	7.0	0.0	15.0	1.0	31.0	1.0																															2819.48504496	stop	diamondyellow.gif	stop	4.0	None	0.0		None	0.0	0.000931024551392	0.515124082565	0.966305971146	2822.48816085																											0.45	0.5																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
711				m	0.0	200.0																											7.0	0.0	7.0	0.0	16.0	0.0	32.0	1.0																															2822.48862386	go	hexagonmagenta.gif	go	4.0	m	1.0	0.7014849185940001	None	0.0	0.000941038131714	0.515138864517		2825.49169803																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
712				z	0.0	-200.0																											7.0	0.0	7.0	0.0	16.0	1.0	33.0	0.0																															2825.49215984	go	hexagonmagenta.gif	go	4.0	z	1.0	0.7346208095550001	None	0.0	0.00102305412292	0.515316009521		2828.495224																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
713				z	0.0	-200.0																											7.0	0.0	7.0	0.0	17.0	0.0	34.0	0.0																															2828.49568486	go	invertedtrianglewhite.gif	go	2.0	z	1.0	0.683912038803	None	0.0	0.0009331703186039999	0.5153031349180001		2831.49865603																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
714				z	0.0	-200.0																											7.0	0.0	7.0	0.0	17.0	1.0	35.0	0.0																															2831.49913287	go	crossgreen.gif	go	0.5	z	1.0	0.701479911804	None	0.0	0.0009431838989260002	0.514535188675		2834.50160599																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
715																																																																																					9.0	48.3208830357																												9.0	399.782403946																			2015_Jul_07_0953	60.1413233	LearningTask	1	80	
716																																									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																							3284.84351087													3290.86395097																																t	1.48555207253	2.481954813	triangleorange.gif	[39, 195, 234, 78, 117, 156]	2.0	stop	195.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
717																																									0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0																							3290.86548901													3296.88770604																																i	0.9514019489290001	1.9505550861400003	squareblue.gif	[195, 39, 234, 78, 117, 156]	1.0	stop	117.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
718																																									0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0																							3296.88875198													3302.89446902																																t	1.6185190677599999	2.62058091164	hexagonmagenta.gif	[88, 220, 176, 132, 264, 44]	4.0	go	220.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
719																																									0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0																							3302.895504													3308.90154886																																o	1.38506984711	2.38465309143	linecyan.gif	[98, 49, 147, 294, 196, 245]	1.0	go	245.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
720																																									0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0																							3308.90258598													3314.90803385																																r	1.6020128727	2.60120487213	diamondyellow.gif	[294, 245, 147, 196, 49, 98]	4.0	stop	294.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
721																																									0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0																							3314.90918589													3320.91486692																																i	1.03486704826	2.03691101074	triangleorange.gif	[176, 88, 220, 44, 132, 264]	2.0	stop	132.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
