	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
0																																																	[]	[]	[]	[]	[]	9.0	50.69683504100001																																																																								2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
1	200.0	w	200.0				0.0	0.0	0.0	8.0																																														w	1.0	0.6345849037169999	None	0.0	1.0	circleblue.gif	go	0.89	0.506649017334	0.0368249416351	0.6345849037169999	1.0	w	78.9202749729																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
2	-200.0	q	200.0				0.0	1.0	1.0	9.0																																														q	1.0	0.48449110984800003	None	0.0	4.0	diamondwhite.gif	go	3.98	0.5144288539890001	0.0461189746857	0.48449110984800003	1.0	q	81.9230430126																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
3	200.0	s	-200.0				0.0	2.0	2.0	2.0																																														s	1.0	0.568146944046	None	0.0	1.0	circleblue.gif	go	1.05	0.515196084976	0.00105404853821	0.568146944046	1.0	s	84.9263920784																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
4	-200.0	q	200.0				0.0	3.0	3.0	5.0																																														q	1.0	0.43479514122	None	0.0	4.0	diamondwhite.gif	go	4.19	0.5153248310090001	0.000898838043213	0.43479514122	1.0	q	87.9299881458																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
5	-200.0	q	200.0				0.0	4.0	4.0	1.0																																														q	1.0	0.43403792381300005	None	0.0	4.0	trianglegray.gif	stop	0.0	0.51518201828	0.0379149913788	0.43403792381300005	1.0	q	90.93318295479999																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
6	-200.0	a	-200.0				0.0	5.0	5.0	3.0																																														a	1.0	0.450689077377	None	0.0	1.0	circleblue.gif	go	0.88	0.515434026718	0.0009670257568360001	0.450689077377	1.0	a	93.93671512600001																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
7	200.0	w	200.0				0.0	6.0	6.0	0.0																																														w	1.0	0.467793941498	None	0.0	0.5	crosscyan.gif	stop	0.3	0.515012979507	0.0013008117675799998	0.467793941498	1.0	w	96.93990397450001																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
8	-200.0	a	-200.0				0.0	7.0	7.0	7.0																																														a	1.0	0.484796047211	None	0.0	1.0	circleblue.gif	go	0.97	0.514748811722	0.000943899154663	0.484796047211	1.0	a	99.94313597680001																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
9	200.0	s	-200.0				0.0	8.0	8.0	6.0																																														s	1.0	0.467715024948	None	0.0	2.0	lineyellow.gif	go	1.81	0.515297889709	0.0012989044189500002	0.467715024948	1.0	s	102.94661402700001																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
10	200.0	w	200.0				0.0	9.0	9.0	4.0																																														w	1.0	0.384192943573	None	0.0	4.0	diamondwhite.gif	go	3.82	0.514970064163	0.0008990764617919999	0.384192943573	1.0	w	105.95029115700001																																																									2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
11				z	0.0	-200.0										0.0	0.0	0.0	0.0																																																				158.981207132	go	circleblue.gif	go	1.0	z	1.0	0.46764397621200005	None	0.0	0.00129199028015	0.510149002075	161.97914505																																												2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				161.979673147	go	diamondwhite.gif	go	4.0	m	1.0	0.367854833603	None	0.0	0.0012800693512	0.515320062637	164.982273102																																												2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																				164.98275113100001	go	lineyellow.gif	go	2.0	z	1.0	0.384128093719	None	0.0	0.000994920730591	0.5157878398899999	167.98583912799998																																												2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				167.986202955	stop	crosscyan.gif	stop	0.5	z	1.0	0.400837898254	None	0.0	0.000946044921875	0.515646219254	170.989422083	0.766368150711																																											2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
15				z	0.0	-200.0										2.0	0.0	4.0	0.0																																																				170.989835024	go	diamondwhite.gif	go	4.0	z	1.0	0.5009369850159999	None	0.0	0.0010869503021199997	0.515423059464	173.992331028																																												2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																				173.992738008	go	squaremagenta.gif	go	0.5	m	1.0	0.48363208770800004	None	0.0	0.0371270179749	0.515793800354	176.99554801																																												2015_Jun_25_1004	59.9351535495	LearningTask	1	20	
