	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
212	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	22.0	0.0	88.0	3.0																													a	1.0	None	0.0		2.0	diamondgreen.gif	go								0.43429398536700003																								0.0	0.514312982559	0.000885009765625	0.434293985367	1.0	a	805.1770989889999																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
213	-200.0	q	200.0																	1.0	0.0	1.0	0.0	22.0	1.0	89.0	1.0																													q	1.0	None	0.0		1.0	triangleorange.gif	stop								0.301321029663																								1.03	0.513576984406	0.0008838176727290001	0.301321029663	1.0	q	808.180182934																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
214	200.0	s	-200.0																	1.0	0.0	1.0	0.0	22.0	2.0	90.0	2.0																													s	1.0	None	0.0		4.0	lineyellow.gif	stop								0.5509121418																								3.83	0.514202833176	0.0008919239044189998	0.5509121418	1.0	s	811.183658123																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
215	-200.0	q	200.0																	1.0	0.0	1.0	0.0	22.0	3.0	91.0	1.0																													q	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.40073394775399995																								0.66	0.51432800293	0.0008940696716310001	0.400733947754	1.0	q	814.1870400910001																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
216	200.0	w	200.0																	1.0	0.0	1.0	0.0	23.0	0.0	92.0	0.0																													w	1.0	None	0.0		1.0	invertedtrianglecyan.gif	go								0.367864847183																								0.99	0.514074087143	0.0008790493011469999	0.367864847183	1.0	w	817.190758944																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
217	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	23.0	1.0	93.0	3.0																													a	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.384302854538																								0.33	0.513703107834	0.00088095664978	0.384302854538	1.0	a	820.193751097																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
218	200.0	w	200.0																	1.0	0.0	1.0	0.0	23.0	2.0	94.0	0.0																													w	1.0	None	0.0		4.0	lineyellow.gif	stop								0.300904035568																								3.75	0.5143561363220001	0.00088095664978	0.300904035568	1.0	w	823.197191																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
219	200.0	s	-200.0																	1.0	0.0	1.0	0.0	23.0	3.0	95.0	2.0																													s	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.38388705253600003																								0.0	0.5143048763279999	0.000877857208252	0.383887052536	1.0	s	826.20059514																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
220	200.0	s	-200.0																	1.0	0.0	1.0	0.0	24.0	0.0	96.0	2.0																													s	1.0	None	0.0		0.5	hexagonwhite.gif	go								0.38436603546099996																								0.42	0.514072179794	0.0009250640869139999	0.384366035461	1.0	s	829.2037711139999																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
221	-200.0	q	200.0																	1.0	0.0	1.0	0.0	24.0	1.0	97.0	1.0																													q	1.0	None	0.0		1.0	triangleorange.gif	stop								0.384021043777																								1.02	0.514469861984	0.0010077953338599999	0.384021043777	1.0	q	832.20779109																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
222	200.0	s	-200.0																	1.0	0.0	1.0	0.0	24.0	2.0	98.0	2.0																													s	1.0	None	0.0		1.0	invertedtrianglecyan.gif	go								0.551093101501																								1.0	0.513658046722	0.000885009765625	0.551093101501	1.0	s	835.2106659410001																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
223	-200.0	q	200.0																	1.0	0.0	1.0	0.0	24.0	3.0	99.0	1.0																													q	1.0	None	0.0		4.0	circleblue.gif	go								0.317540884018																								3.96	0.514310121536	0.0009191036224369998	0.317540884018	1.0	q	838.214045048																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
224																				1.0	0.0	1.0	0.0																																																																																						9.0	1.37503314018																															2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
225	200.0	s	-200.0																	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0																													s	1.0	None	0.0		1.0	invertedtrianglecyan.gif	go								0.401162147522																								1.24	0.510092020035	0.000880002975464	0.401162147522	1.0	s	843.303529978																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
226	200.0	s	-200.0																	2.0	0.0	2.0	0.0	0.0	1.0	1.0	2.0																													s	1.0	None	0.0		4.0	circleblue.gif	go								0.350549221039																								0.0	0.51358795166	0.0009319782257080001	0.350549221039	1.0	s	846.3065850730001																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
227	200.0	s	-200.0																	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0																													s	1.0	None	0.0		2.0	diamondgreen.gif	go								0.534354925156																								0.0	0.514300107956	0.0008790493011469999	0.534354925156	1.0	s	849.3097951410001																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
228	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	0.0	3.0	3.0	3.0																													a	1.0	None	0.0		4.0	circleblue.gif	go								0.45080304145800004																								4.11	0.514316082001	0.000880002975464	0.450803041458	1.0	a	852.31367898																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
229	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	1.0	0.0	4.0	3.0																													a	1.0	None	0.0		4.0	lineyellow.gif	stop								0.417924165726																								4.15	0.513371944427	0.00092601776123	0.417924165726	1.0	a	855.31673193																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
230	-200.0	q	200.0																	2.0	0.0	2.0	0.0	1.0	1.0	5.0	1.0																													q	1.0	None	0.0		4.0	circleblue.gif	go								0.350941896439																								0.0	0.514085054398	0.0008759498596189999	0.350941896439	1.0	q	858.320173025																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
231	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	1.0	2.0	6.0	3.0																													a	1.0	None	0.0		2.0	diamondgreen.gif	go								0.35070681571999995																								1.83	0.51411485672	0.0008790493011469999	0.35070681572	1.0	a	861.32347703																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
232	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	1.0	3.0	7.0	3.0																													a	1.0	None	0.0		2.0	crossgray.gif	stop								0.40073800087																								1.87	0.514225006104	0.0008859634399410001	0.40073800087	1.0	a	864.326604128																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
233	-200.0	q	200.0																	2.0	0.0	2.0	0.0	2.0	0.0	8.0	1.0																													q	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.38400888443000003																								0.38	0.514312982559	0.000941038131714	0.38400888443	1.0	q	867.329967976																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
234	200.0	w	200.0																	2.0	0.0	2.0	0.0	2.0	1.0	9.0	0.0																													w	1.0	None	0.0		1.0	invertedtrianglecyan.gif	go								0.300502061844																								0.83	0.514724969864	0.00088095664978	0.300502061844	1.0	w	870.3337109089999																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
