	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	feedbackResp.rt	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
0																																																	[]	[]	[]	[]	[]	9.0	43.0904119015																																																																								2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
1	-200.0	a	-200.0				0.0	0.0	0.0	3.0																																														a	1.0	0.567687034607	None	0.0	2.0	squareblue.gif	stop	1.97	0.515309095383	0.0098569393158	0.567687034607	1.0	a	99.868350029																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
2	200.0	w	200.0				0.0	1.0	1.0	8.0																																														w	1.0	0.53484416008	None	0.0	0.5	invertedtrianglecyan.gif	stop	0.0	0.514518976212	0.036324024200400006	0.53484416008	1.0	w	102.871011972																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
3	200.0	w	200.0				0.0	2.0	2.0	0.0																																														w	1.0	0.417383909225	None	0.0	0.5	invertedtrianglecyan.gif	stop	0.64	0.515254974365	0.00090503692627	0.417383909225	1.0	w	105.87458491299999																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
4	-200.0	q	200.0				0.0	3.0	3.0	9.0																																														q	1.0	0.31772589683499997	a	0.0	0.5	invertedtrianglecyan.gif	stop	0.0	0.514709949493	0.000926971435547	0.31772589683499997	1.0	q	108.878172874	0.025357961654699997																																																								2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
5	200.0	s	-200.0				0.0	4.0	4.0	6.0																																														s	1.0	0.384192943573	None	0.0	4.0	crossmagenta.gif	stop	4.09	0.515029907227	0.0371890068054	0.384192943573	1.0	s	111.881150007																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
6	-200.0	q	200.0				0.0	5.0	5.0	1.0																																														q	1.0	0.55113697052	None	0.0	0.5	invertedtrianglecyan.gif	stop	0.3	0.515461921692	0.0008959770202639998	0.55113697052	1.0	q	114.884716988																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
7	200.0	w	200.0				0.0	6.0	6.0	4.0																																														w	1.0	0.551130056381	None	0.0	4.0	crossmagenta.gif	stop	4.09	0.514945030212	0.0009109973907470001	0.551130056381	1.0	w	117.88805794700001																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
8	200.0	s	-200.0				0.0	7.0	7.0	2.0																																														s	1.0	0.551354885101	None	0.0	4.0	crossmagenta.gif	stop	3.95	0.515005111694	0.000900030136108	0.551354885101	1.0	s	120.89171695700001																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
9	-200.0	a	-200.0				0.0	8.0	8.0	7.0																																														a	1.0	0.618045091629	None	0.0	2.0	linegreen.gif	go	1.8	0.51450586319	0.0205960273743	0.618045091629	1.0	a	123.894748926																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
10	-200.0	q	200.0				0.0	9.0	9.0	5.0																																														q	1.0	0.41776895523100005	None	0.0	1.0	hexagonwhite.gif	stop	1.06	0.515052080154	0.0397920608521	0.41776895523100005	1.0	q	126.898115873																																																									2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
11				z	0.0	-200.0										0.0	0.0	0.0	0.0																																																					167.826726913	stop	crossmagenta.gif	stop	4.0	z	1.0	0.617921113968	None	0.0	0.0013210773467999999	0.516136884689	0.7664649486540001	170.830626965																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																					170.831017017	stop	crossmagenta.gif	stop	4.0	m	1.0	0.38423705100999994	None	0.0	0.00112295150757	0.515757083893	0.7659680843350001	173.833811045																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
13				m	0.0	200.0										1.0	0.0	2.0	1.0																																																					173.83417606400002	go	linegreen.gif	go	2.0	m	1.0	0.45086407661399996	None	0.0	0.000965118408203	0.51592206955		176.83718705200002																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
