	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
0																																																	[]	[]	[]	[]	[]	9.0	69.9812579155																																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
1	-200.0	q	200.0				0.0	0.0	0.0	9.0																																														q	1.0	None	0.0	0.0573179721832	0.5	invertedtriangleorange.gif	stop	0.0	0.507023096085	0.0029489994049099995	[]	0.0	None	83.6209959984	0.434503078461	0.0	0.515316009521	0.0012400150299100002	0.434503078461	1.0	q	86.62409687040001																																																								2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
2	200.0	w	200.0				0.0	1.0	1.0	8.0																																														w	1.0	None	0.0		1.0	diamondcyan.gif	stop	1.09	0.514873981476	0.00149512290955	0.400847196579	1.0	w	89.6271297932	0.400847196579																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
3	200.0	s	-200.0				0.0	2.0	2.0	6.0																																														s	1.0	None	0.0		1.0	diamondcyan.gif	stop	1.23	0.51523399353	0.0008869171142580001	0.434075117111	1.0	s	92.6303389072	0.434075117111																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
4	200.0	w	200.0				0.0	3.0	3.0	0.0																																														w	1.0	None	0.0		4.0	trianglegray.gif	stop	0.0	0.515028953552	0.0013570785522500001	0.501169919968	1.0	w	95.63409495350001	0.501169919968																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
5	-200.0	q	200.0				0.0	4.0	4.0	5.0																																														q	1.0	None	0.0		1.0	diamondcyan.gif	stop	1.11	0.515152931213	0.00110101699829	0.45100402832	1.0	q	98.6373128891	0.45100402831999997																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
6	-200.0	a	-200.0				0.0	5.0	5.0	3.0																																														a	1.0	None	0.0		2.0	lineblue.gif	stop	2.13	0.515258073807	0.00134491920471	0.400406837463	1.0	a	101.64090395	0.400406837463																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
7	-200.0	a	-200.0				0.0	6.0	6.0	7.0																																														a	1.0	None	0.0		1.0	diamondcyan.gif	stop	0.78	0.514746189117	0.0008959770202639998	0.351405858994	1.0	a	104.64394688600001	0.351405858994																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
8	-200.0	q	200.0				0.0	7.0	7.0	1.0																																														q	1.0	None	0.0		1.0	diamondcyan.gif	stop	0.78	0.514870166779	0.0009520053863530001	0.350708961487	1.0	q	107.647243977	0.350708961487																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
9	200.0	s	-200.0				0.0	8.0	8.0	2.0																																														s	1.0	None	0.0		2.0	lineblue.gif	stop	1.92	0.515282869339	0.000962018966675	0.384811878204	1.0	s	110.650702	0.384811878204																																																															2015_Jun_23_1355	60.055727217299996	LearningTask	1	62	
