	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
0																																																	[]	[]	[]	[]	[]	9.0	56.8163540363																																																																							2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
1	-200.0	a	-200.0				0.0	0.0	0.0	7.0																																														a	1.0	0.550843000412	None	0.0	4.0	squareyellow.gif	go	3.86	0.507936954498	0.043079853057900006	0.550843000412	1.0	a	76.6458880901																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
2	200.0	s	-200.0				0.0	1.0	1.0	6.0																																														s	1.0	0.417273044586	None	0.0	1.0	invertedtrianglegreen.gif	go	0.9	0.514786958694	0.00170207023621	0.417273044586	1.0	s	79.6486420631																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
3	-200.0	q	200.0				0.0	2.0	2.0	1.0																																														q	1.0	0.250417947769	None	0.0	0.5	trianglemagenta.gif	stop	0.32	0.515404939651	0.00180006027222	0.250417947769	1.0	q	82.652146101																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
4	-200.0	q	200.0				0.0	3.0	3.0	5.0																																														q	1.0	0.317353963852	None	0.0	0.5	diamondgray.gif	go	0.26	0.515433073044	0.0017101764679	0.317353963852	1.0	q	85.6559331417																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
5	-200.0	a	-200.0				0.0	4.0	4.0	3.0																																														a	1.0	0.417272090912	None	0.0	2.0	linecyan.gif	stop	1.86	0.514677047729	0.00167393684387	0.417272090912	1.0	a	88.6587181091																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
6	200.0	s	-200.0				0.0	5.0	5.0	2.0																																														s	1.0	0.38469409942599997	None	0.0	0.5	trianglemagenta.gif	stop	0.0	0.515054941177	0.0009400844573969999	0.38469409942599997	1.0	s	91.6621370316																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
7	200.0	w	200.0				0.0	6.0	6.0	4.0																																														w	1.0	0.35118699073799997	None	0.0	2.0	hexagonorange.gif	go	1.83	0.515238046646	0.0016911029815699999	0.35118699073799997	1.0	w	94.6656761169																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
8	200.0	w	200.0				0.0	7.0	7.0	8.0																																														w	1.0	0.417510986328	None	0.0	1.0	invertedtrianglegreen.gif	go	1.07	0.5149271488189999	0.000900030136108	0.417510986328	1.0	w	97.6689321995																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
9	200.0	w	200.0				0.0	8.0	8.0	0.0																																														w	1.0	0.567771911621	None	0.0	1.0	circlewhite.gif	stop	1.19	0.514953136444	0.0207841396332	0.567771911621	1.0	w	100.672311068																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
10	-200.0	q	200.0				0.0	9.0	9.0	9.0																																														q	1.0	0.334029197693	None	0.0	2.0	hexagonorange.gif	go	1.95	0.51522898674	0.0009059906005860001	0.334029197693	1.0	q	103.67571520799999																																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																				173.392596006	stop	crossblue.gif	stop	4.0	m	1.0	0.400753974915	None	0.0	0.013350963592499999	0.509443044662	0.759742021561	176.39010906200002																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				176.39050316799998	go	diamondgray.gif	go	0.5	m	1.0	0.7009329795839999	None	0.0	0.0009670257568360001	0.515612125397		179.39342618																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
13				m	0.0	200.0										1.0	0.0	2.0	1.0																																																				179.393854141	go	squareyellow.gif	go	4.0	m	1.0	0.417531967163	None	0.0	0.0009799003601070001	0.51581788063		182.396650076																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				182.39701819400003	go	diamondgray.gif	go	0.5	z	1.0	0.283568143845	None	0.0	0.000949859619141	0.51602602005		185.399960995																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																				185.400329113	stop	linecyan.gif	stop	2.0	m	1.0	0.266788959503	None	0.0	0.0010778903961199998	0.515900850296	0.7660760879520001	188.40342712400002																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				188.403792143	go	invertedtrianglegreen.gif	go	1.0	z	1.0	0.316838979721	None	0.0	0.00108504295349	0.5161170959470001		191.406637192																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																				191.407005072	go	hexagonorange.gif	go	2.0	z	1.0	0.317532062531	None	0.0	0.0009570121765139998	0.515789031982		194.41012406299998																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																				194.410497189	go	invertedtrianglegreen.gif	go	1.0	z	1.0	0.400759935379	None	0.0	0.00103402137756	0.515850067139		197.413442135																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																				197.41388821599998	stop	crossblue.gif	stop	4.0	z	1.0	0.467166185379	None	0.0	0.000982999801636	0.5154898166659999	0.765635967255	200.416994095																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																				200.417365074	stop	linecyan.gif	stop	2.0	None	0.0		None	0.0	0.0009729862213130002	0.515914916992	0.765810012817	203.420198202																																										2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
21																																																																																					9.0	53.322344064700005																																								2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
22																																																						9.0	5.70631599426																																																																							2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
23	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0																													a	1.0	0.41771602630599997	None	0.0	4.0	squareyellow.gif	go																								3.89	0.508680820465	0.0010440349578899998	0.417716026306	1.0	a	265.591025114																																	2015_Jun_24_1324	59.9645442796	LearningTask	1	64	
