	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	feedbackResp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
127	200.0	w	200.0																	1.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0																													w	1.0	0.384117126465	None	0.0	2.0	trianglemagenta.gif	go																																2.08	0.51379108429	0.0009441375732419999	0.384117126465	1.0	w	617.890258074																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
128	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	1.0	0.0	4.0	3.0																													a	1.0	0.36837601661700003	None	0.0	4.0	lineyellow.gif	go																																3.76	0.514053106308	0.000900030136108	0.368376016617	1.0	a	620.89367795																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
129	200.0	s	-200.0																	1.0	0.0	1.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	0.31763792038000005	None	0.0	1.0	invertedtriangleorange.gif	stop																																1.19	0.514081954956	0.0008938312530519999	0.31763792038	1.0	s	623.897083044																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
130	200.0	w	200.0																	1.0	0.0	1.0	0.0	1.0	2.0	6.0	0.0																													w	1.0	0.36799788475	None	0.0	2.0	circlecyan.gif	stop																																1.89	0.514085054398	0.0009319782257080001	0.36799788475	1.0	w	626.900645018																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
131	200.0	s	-200.0																	1.0	0.0	1.0	0.0	1.0	3.0	7.0	2.0																													s	1.0	0.417398929596	None	0.0	4.0	crosswhite.gif	stop																																4.0	0.5139210224149999	0.0011141300201400002	0.417398929596	1.0	s	629.903669119																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
132	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	2.0	0.0	8.0	3.0																													a	1.0	0.384359836578	None	0.0	4.0	crosswhite.gif	stop																																4.03	0.514464139938	0.0008959770202639998	0.384359836578	1.0	a	632.9070479869999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
133	-200.0	q	200.0																	1.0	0.0	1.0	0.0	2.0	1.0	9.0	1.0																													q	1.0	0.301116943359	None	0.0	2.0	trianglemagenta.gif	go																																2.07	0.51393198967	0.000969886779785	0.301116943359	1.0	q	635.910251141																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
134	200.0	s	-200.0																	1.0	0.0	1.0	0.0	2.0	2.0	10.0	2.0																													s	1.0	0.40089607238799996	None	0.0	2.0	circlecyan.gif	stop																																1.77	0.514288902283	0.0010249614715599998	0.400896072388	1.0	s	638.913869143																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
135	-200.0	q	200.0																	1.0	0.0	1.0	0.0	2.0	3.0	11.0	1.0																													q	1.0	0.500834941864	None	0.0	4.0	lineyellow.gif	go																																4.06	0.514240026474	0.0008909702301030001	0.500834941864	1.0	q	641.917057991																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
136	-200.0	q	200.0																	1.0	0.0	1.0	0.0	3.0	0.0	12.0	1.0																													q	1.0	0.534873008728	None	0.0	1.0	invertedtriangleorange.gif	stop																																1.2	0.51452088356	0.000898838043213	0.534873008728	1.0	q	644.920437098																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
