	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	feedbackResp.rt	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 152
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				162.319133043	go	crosswhite.gif	go	4.0	m	1.0	0.400973796844	None	0.0	0.000970125198364	0.515304088593		165.321599007																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
13				m	0.0	200.0										1.0	0.0	2.0	1.0																																																				165.32195711100002	go	invertedtriangleblue.gif	go	2.0	m	1.0	0.46753191947899997	None	0.0	0.0013320446014400001	0.516028165817		168.325121164																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
14				m	0.0	200.0										1.0	1.0	3.0	1.0																																																				168.325492144	go	crosswhite.gif	go	4.0	m	1.0	0.43436503410300004	None	0.0	0.0009570121765139998	0.515809059143		171.32842207																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																				171.328828096	stop	diamondorange.gif	stop	2.0	m	1.0	0.400786876678	None	0.0	0.00106906890869	0.51588010788	0.766028165817	174.331954002																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				174.33230900799998	go	trianglegray.gif	go	1.0	z	1.0	0.517746210098	None	0.0	0.000942945480347	0.515764951706		177.334912062																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																				177.335322142	stop	diamondorange.gif	stop	2.0	None	0.0		None	0.0	0.00100111961365	0.5159850120539999	0.766364097595	180.33867216099998																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																				180.339027166	go	circlecyan.gif	go	0.5	z	1.0	0.484462022781	None	0.0	0.00116205215454	0.515626907349		183.341776133																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																				183.342137098	stop	diamondorange.gif	stop	2.0	None	0.0		None	0.0	0.000942945480347	0.5160930156710001	0.7662720680239999	186.345389128																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
20				z	0.0	-200.0										4.0	1.0	9.0	0.0																																																				186.345745087	stop	squaremagenta.gif	stop	1.0	None	0.0		None	0.0	0.000931024551392	0.515933036804	0.765752077103	189.34874796900002																																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
21																																																																																					9.0	56.3017029762																																																														2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
22																																																						9.0	3.23688411713																																																																																													2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
23	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													w	1.0	0.568103075027	None	0.0	4.0	linegreen.gif	stop																								0.0	0.508241891861	0.000918865203857	0.568103075027	1.0	w	252.053407192																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
24	200.0	s	-200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0																													s	1.0	0.467550992966	None	0.0	4.0	crosswhite.gif	go																								4.04	0.513626813889	0.0011458396911600002	0.467550992966	1.0	s	255.055994034																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
25	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0																													w	1.0	0.6007378101349999	None	0.0	0.5	hexagonyellow.gif	stop																								0.0	0.514589071274	0.0008940696716310001	0.600737810135	1.0	w	258.059452057																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
