	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				206.53221797900002	go	circleyellow.gif	go	0.5	z	1.0	0.300888061523	None	0.0	0.023401021957400004	0.515575885773	209.534922123																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																				209.53528714200002	go	circleyellow.gif	go	0.5	m	1.0	0.300420999527	None	0.0	0.00105786323547	0.516192913055	212.53838515299998																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																				212.53874611900002	stop	squaregreen.gif	stop	1.0	m	1.0	0.334688901901	None	0.0	0.0009191036224369998	0.515903949738	215.542050123	0.766498088837																																										2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																				215.54242110299998	go	invertedtriangleblue.gif	go	2.0	z	1.0	0.36687207221999996	None	0.0	0.000953912734985	0.516350984573	218.54559707599998																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																				218.54599595099998	go	invertedtriangleblue.gif	go	2.0	z	1.0	0.350649118423	None	0.0	0.0011689662933299998	0.515629053116	221.548841																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																				221.549205065	go	circleyellow.gif	go	0.5	m	1.0	0.501164913177	None	0.0	0.0009820461273189998	0.515734195709	224.551821947																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																				224.55219698	go	hexagonwhite.gif	go	1.0	m	1.0	0.384083032608	None	0.0	0.00094199180603	0.516242027283	227.555881977																																											2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
21																																																																																					9.0	82.9522800446																																								2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
22																																																						9.0	5.42356991768																																																																							2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
23	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0																													a	1.0	0.9346630573270001	None	0.0	0.5	linecyan.gif	stop																								0.0	0.507523059845	0.0009069442749019998	0.934663057327	1.0	a	319.126573086																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
24	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0																													q	1.0	0.40087890625	None	0.0	0.5	linecyan.gif	stop																								0.41	0.513481140137	0.000887155532837	0.40087890625	1.0	q	322.129269123																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
25	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0																													q	1.0	0.451409101486	None	0.0	2.0	crossgray.gif	stop																								2.12	0.514497995377	0.000977039337158	0.451409101486	1.0	q	325.132846117																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
