	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
423	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	24.0	1.0	97.0	3.0																													a	1.0	0.418491840363	None	0.0	2.0	circleyellow.gif	go																								2.19	0.513682842255	0.0008718967437739999	0.418491840363	1.0	a	1709.8515389000002																																	2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
424	200.0	w	200.0																	3.0	0.0	3.0	0.0	24.0	2.0	98.0	0.0																													w	1.0	0.33383417129500004	None	0.0	2.0	squaremagenta.gif	stop																								0.0	0.5140888690950001	0.000921964645386	0.33383417129500004	1.0	w	1712.85497999																																	2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
425	-200.0	q	200.0																	3.0	0.0	3.0	0.0	24.0	3.0	99.0	1.0																													q	1.0	0.400554180145	None	0.0	0.5	invertedtriangleblue.gif	go																								0.49	0.514420986176	0.000923871994019	0.400554180145	1.0	q	1715.85817885																																	2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
426																				3.0	0.0	3.0	0.0																																																																							9.0	134.141276836																															2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
427				z	0.0	-200.0																											0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																															1869.00911283	go	lineorange.gif	go	4.0	z	1.0	0.51734995842	None	0.0	0.0008840560913089999	0.502639055252		1872.01677489																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
428				m	0.0	200.0																											0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0																															1872.01726294	go	crossgreen.gif	go	1.0	m	1.0	0.451210975647	None	0.0	0.00092601776123	0.514790058136		1875.02027392																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
429				m	0.0	200.0																											0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0																															1875.02074289	go	lineorange.gif	go	4.0	m	1.0	0.417260885239	None	0.0	0.0009369850158689999	0.515291929245		1878.02371907																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
430				z	0.0	-200.0																											0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0																															1878.0241909000001	stop	squaremagenta.gif	stop	2.0	None	0.0		None	0.0	0.000943899154663	0.514789104462	0.765094041824	1881.02704597																			0.25	0.3																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
431				m	0.0	200.0																											0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0																															1881.02749991	stop	diamondgray.gif	stop	4.0	m	1.0	0.300645112991	None	0.0	0.0009372234344480001	0.515300035477	0.764996051788	1884.03052688																			0.25	0.2																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
432				m	0.0	200.0																											0.0	0.0	0.0	0.0	2.0	1.0	5.0	1.0																															1884.03098488	go	invertedtriangleblue.gif	go	0.5	m	1.0	0.567555189133	None	0.0	0.0009357929229739999	0.515016794205		1887.03367305																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
433				z	0.0	-200.0																											0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0																															1887.03414297	stop	hexagoncyan.gif	stop	1.0	None	0.0		None	0.0	0.0009357929229739999	0.515282869339	0.8151578903200001	1890.03689098																			0.3	0.35																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
