	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																											161.973020077	stop	diamondgreen.gif	stop	2.0	z	1.0	0.36766505241400005	None	0.0	0.0011169910430899998	0.515772104263	164.975821972	0.7662570476530001																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																											164.976264954	stop	hexagonmagenta.gif	stop	4.0	None	0.0		None	0.0	0.0411691665649	0.5159311294560001	167.979295969	0.766049146652																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																											167.97971510899998	go	triangleblue.gif	go	4.0	m	1.0	0.851353168488	None	0.0	0.00100207328796	0.515648126602	170.982912064																																												2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																											170.983275175	stop	hexagonmagenta.gif	stop	4.0	None	0.0		None	0.0	0.00102114677429	0.515553951263	173.986103058	0.766363143921																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																											173.98646712299998	stop	diamondgreen.gif	stop	2.0	None	0.0		None	0.0	0.0009717941284180001	0.515824794769	176.98980212200001	0.7661759853360001																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
18				m	0.0	200.0										3.0	1.0	7.0	1.0																																																											176.990185976	stop	crosscyan.gif	stop	1.0	None	0.0		None	0.0	0.000959873199463	0.515709877014	179.99273109400002	0.765441894531																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																											179.993093014	stop	hexagonmagenta.gif	stop	4.0	None	0.0		None	0.0	0.00095009803772	0.515756130219	182.99601197200002	0.766201019287																																											2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																											182.99637508400002	go	linewhite.gif	go	0.5	m	1.0	0.534425020218	None	0.0	0.0009560585021970001	0.515886068344	185.999612093																																												2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
21																																																																																												9.0	48.854054212600005																																									2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
22																																																						9.0	3.37039017677																																																																															2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
23	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0																													q	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.5176150798800001																								4.19	0.503880977631	0.0008940696716310001	0.5176150798800001	1.0	q	241.413110018																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
