	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
411	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	21.0	1.0	85.0	3.0																													a	1.0	0.484532833099	None	0.0		2.0	triangleorange.gif	go																															0.0	0.513797998428	0.00088095664978	0.484532833099	1.0	a	1636.65278816																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
412	-200.0	q	200.0																	3.0	0.0	3.0	0.0	21.0	2.0	86.0	1.0																													q	1.0	0.384110927582	None	0.0		0.5	diamondgreen.gif	stop																															0.28	0.514334201813	0.0008761882781980001	0.384110927582	1.0	q	1639.65626812																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
413	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	21.0	3.0	87.0	3.0																													a	1.0	0.41758203506499997	None	0.0		2.0	triangleorange.gif	go																															2.02	0.514081954956	0.0009069442749019998	0.417582035065	1.0	a	1642.66000319																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
414	200.0	s	-200.0																	3.0	0.0	3.0	0.0	22.0	0.0	88.0	2.0																													s	1.0	0.5178771018980001	None	0.0		0.5	diamondgreen.gif	stop																															0.45	0.5137870311739999	0.0011231899261500001	0.517877101898	1.0	s	1645.66323614																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
415	200.0	s	-200.0																	3.0	0.0	3.0	0.0	22.0	1.0	89.0	2.0																													s	1.0	0.450794935226	None	0.0		0.5	diamondgreen.gif	stop																															0.25	0.514169931412	0.0008769035339360002	0.450794935226	1.0	s	1648.66645408																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
416	-200.0	q	200.0																	3.0	0.0	3.0	0.0	22.0	2.0	90.0	1.0																													q	1.0	0.46724510192900004	None	0.0		1.0	circlemagenta.gif	stop																															0.0	0.514209032059	0.00088095664978	0.467245101929	1.0	q	1651.66989613																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
417	200.0	s	-200.0																	3.0	0.0	3.0	0.0	22.0	3.0	91.0	2.0																													s	1.0	0.500859975815	None	0.0		2.0	triangleorange.gif	go																															2.1	0.514209032059	0.0009629726409910001	0.500859975815	1.0	s	1654.672961																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
418	200.0	w	200.0																	3.0	0.0	3.0	0.0	23.0	0.0	92.0	0.0																													w	1.0	0.7846491336820001	None	0.0		4.0	invertedtriangleyellow.gif	stop																															3.77	0.5143198966979999	0.0009019374847410001	0.784649133682	1.0	w	1657.67681503																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
419	200.0	w	200.0																	3.0	0.0	3.0	0.0	23.0	1.0	93.0	0.0																													w	1.0	0.38426494598399996	None	0.0		2.0	triangleorange.gif	go																															2.15	0.513990879059	0.000880002975464	0.384264945984	1.0	w	1660.68007302																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
420	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	23.0	2.0	94.0	3.0																													a	1.0	0.417318820953	None	0.0		4.0	invertedtriangleyellow.gif	stop																															0.0	0.513983011246	0.000888824462891	0.417318820953	1.0	a	1663.683213																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
