	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
120	-200.0	q	200.0																	0.0	0.0	0.0	0.0	24.0	1.0	97.0	1.0																													q	1.0	0.36732196807899997	None	0.0	0.5	crossmagenta.gif	go																								0.54	0.514217853546	0.0028269290924099995	0.367321968079	1.0	q	632.809093952																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
121	200.0	w	200.0																	0.0	0.0	0.0	0.0	24.0	2.0	98.0	0.0																													w	1.0	0.467584133148	None	0.0	1.0	hexagonwhite.gif	stop																								0.91	0.514298915863	0.0008997917175289999	0.467584133148	1.0	w	635.812260866																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
122	200.0	s	-200.0																	0.0	0.0	0.0	0.0	24.0	3.0	99.0	2.0																													s	1.0	0.417689800262	None	0.0	1.0	hexagonwhite.gif	stop																								0.0	0.514165878296	0.000977039337158	0.417689800262	1.0	s	638.815753937																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
123																				0.0	0.0	0.0	0.0																																																																														9.0	12.6019639969																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
124	200.0	w	200.0																	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																													w	1.0	0.45144104957599995	None	0.0	2.0	triangleyellow.gif	stop																								1.98	0.509996175766	0.000892162322998	0.451441049576	1.0	w	654.868405819																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
125	200.0	s	-200.0																	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0																													s	1.0	0.417787075043	None	0.0	0.5	crossmagenta.gif	go																								0.67	0.51287817955	0.0009150505065920001	0.417787075043	1.0	s	657.870576859																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
126	-200.0	q	200.0																	1.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0																													q	1.0	0.36748194694499997	None	0.0	1.0	hexagonwhite.gif	stop																								0.78	0.514461994171	0.0009069442749019998	0.367481946945	1.0	q	660.874061823																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
127	200.0	s	-200.0																	1.0	0.0	1.0	0.0	0.0	3.0	3.0	2.0																													s	1.0	0.451491832733	None	0.0	4.0	invertedtrianglegreen.gif	stop																								3.75	0.514536857605	0.000900030136108	0.451491832733	1.0	s	663.87735486																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
128	200.0	s	-200.0																	1.0	0.0	1.0	0.0	1.0	0.0	4.0	2.0																													s	1.0	0.38434100151100004	None	0.0	1.0	hexagonwhite.gif	stop																								0.88	0.514178991318	0.00090503692627	0.384341001511	1.0	s	666.880692959																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
129	200.0	s	-200.0																	1.0	0.0	1.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	0.41749691963200003	None	0.0	0.5	crossmagenta.gif	go																								0.0	0.514352083206	0.0009751319885249999	0.417496919632	1.0	s	669.884425879																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
