	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
685				m	0.0	200.0																											7.0	0.0	7.0	0.0	3.0	0.0	6.0	1.0																															3237.83419394	stop	circleblue.gif	stop	2.0	m	1.0	None	0.0	0.0009291172027589999	0.514894008636	1.2661421299	3240.83683085	0.568003892899																			0.75	0.7																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
686				z	0.0	-200.0																											7.0	0.0	7.0	0.0	3.0	1.0	7.0	0.0																															3240.83728099	go	diamondmagenta.gif	stop	0.5	z	1.0	None	0.0	0.000928163528442	0.515283107758		3243.84015584	0.7678418159479999																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
687				m	0.0	200.0																											7.0	0.0	7.0	0.0	4.0	0.0	8.0	1.0																															3243.84061694	go	circleblue.gif	stop	2.0	m	1.0	None	0.0	0.0009489059448239998	0.5155768394470001		3246.84369183	0.31752800941500003																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
688				m	0.0	200.0																											7.0	0.0	7.0	0.0	4.0	1.0	9.0	1.0																															3246.84414196	go	invertedtriangleyellow.gif	go	0.5	m	1.0	None	0.0	0.000931024551392	0.515223026276		3249.84724784	0.300862789154																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
689				z	0.0	-200.0																											7.0	0.0	7.0	0.0	5.0	0.0	10.0	0.0																															3249.84769988	go	invertedtriangleyellow.gif	go	0.5	z	1.0	None	0.0	0.00103878974915	0.515053987503		3252.8503170000004	0.300495147705																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
690				m	0.0	200.0																											7.0	0.0	7.0	0.0	5.0	1.0	11.0	1.0																															3252.85078502	go	trianglewhite.gif	go	1.0	m	1.0	None	0.0	0.00097918510437	0.5154600143429999		3255.85395598	0.250298976898																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
691				z	0.0	-200.0																											7.0	0.0	7.0	0.0	6.0	0.0	12.0	0.0																															3255.85441279	stop	circleblue.gif	stop	2.0	z	1.0	None	0.0	0.0009670257568360001	0.515008926392	1.1659970283499999	3258.85721183	0.300446987152																			0.65	0.6																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
692				m	0.0	200.0																											7.0	0.0	7.0	0.0	6.0	1.0	13.0	1.0																															3258.85766387	go	linegray.gif	go	4.0	m	1.0	None	0.0	0.00113916397095	0.515007019043		3261.86077499	0.300799131393																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
693				m	0.0	200.0																											7.0	0.0	7.0	0.0	7.0	0.0	14.0	1.0																															3261.86123085	stop	hexagongreen.gif	stop	1.0	m	1.0	None	0.0	0.00092887878418	0.515321969986	1.215914011	3264.86418796	0.31691503524799997																			0.7	0.65																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
694				m	0.0	200.0																											7.0	0.0	7.0	0.0	7.0	1.0	15.0	1.0																															3264.86467695	go	invertedtriangleyellow.gif	go	0.5	m	1.0	None	0.0	0.00095009803772	0.514955043793		3267.86733079	0.334261894226																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
