	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
182	200.0	s	-200.0																	1.0	0.0	1.0	0.0	14.0	2.0	58.0	2.0																													s	1.0	0.36749792099	None	0.0	2.0	diamondmagenta.gif	stop																								1.88	0.513959169388	0.00093412399292	0.36749792099	1.0	s	718.038558006																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
183	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	14.0	3.0	59.0	3.0																													a	1.0	0.400995969772	None	0.0	0.5	linewhite.gif	go																								0.48	0.514355182648	0.0008859634399410001	0.400995969772	1.0	a	721.0423419480001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
184	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	15.0	0.0	60.0	3.0																													a	1.0	0.568163156509	None	0.0	2.0	triangleblue.gif	go																								0.0	0.513746976852	0.0008950233459470001	0.568163156509	1.0	a	724.045222998																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
185	200.0	s	-200.0																	1.0	0.0	1.0	0.0	15.0	1.0	61.0	2.0																													s	1.0	0.367386817932	None	0.0	0.5	linewhite.gif	go																								0.5	0.514627933502	0.0008749961853029999	0.367386817932	1.0	s	727.048902035																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
186	200.0	s	-200.0																	1.0	0.0	1.0	0.0	15.0	2.0	62.0	2.0																													s	1.0	0.36793708801299996	None	0.0	2.0	triangleblue.gif	go																								2.03	0.513967990875	0.0012218952179	0.36793708801299996	1.0	s	730.0528299810001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
187	200.0	s	-200.0																	1.0	0.0	1.0	0.0	15.0	3.0	63.0	2.0																													s	1.0	0.334223985672	None	0.0	4.0	squareorange.gif	go																								3.93	0.513659954071	0.000881910324097	0.334223985672	1.0	s	733.0554580689999																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
188	200.0	s	-200.0																	1.0	0.0	1.0	0.0	16.0	0.0	64.0	2.0																													s	1.0	0.300426006317	None	0.0	1.0	circlegray.gif	go																								1.11	0.514630794525	0.0009279251098630001	0.300426006317	1.0	s	736.058907032																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
189	-200.0	q	200.0																	1.0	0.0	1.0	0.0	16.0	1.0	65.0	1.0																													q	1.0	0.46755290031400004	None	0.0	4.0	squareorange.gif	go																								3.75	0.514336109161	0.000869989395142	0.46755290031400004	1.0	q	739.062381029																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
190	200.0	w	200.0																	1.0	0.0	1.0	0.0	16.0	2.0	66.0	0.0																													w	1.0	0.5512261390690001	None	0.0	4.0	squareorange.gif	go																								0.0	0.514253854752	0.0008668899536130001	0.5512261390690001	1.0	w	742.065596104																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
191	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	16.0	3.0	67.0	3.0																													a	1.0	0.350937843323	None	0.0	4.0	squareorange.gif	go																								4.06	0.514115095139	0.0009860992431639998	0.350937843323	1.0	a	745.069391966																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
192	200.0	s	-200.0																	1.0	0.0	1.0	0.0	17.0	0.0	68.0	2.0																													s	1.0	0.517588853836	None	0.0	4.0	invertedtrianglegreen.gif	stop																								3.94	0.513867139816	0.0008931159973139998	0.517588853836	1.0	s	748.07249403																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
193	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	17.0	1.0	69.0	3.0																													a	1.0	0.367541074753	None	0.0	4.0	squareorange.gif	go																								4.25	0.5137639045719999	0.00103998184204	0.367541074753	1.0	a	751.0758180619999																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
194	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	17.0	2.0	70.0	3.0																													a	1.0	0.384007930756	None	0.0	1.0	crosscyan.gif	stop																								0.94	0.513840913773	0.000931024551392	0.384007930756	1.0	a	754.07913208																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
195	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	17.0	3.0	71.0	3.0																													a	1.0	0.40060997009300003	None	0.0	1.0	crosscyan.gif	stop																								0.0	0.51452589035	0.000881910324097	0.40060997009300003	1.0	a	757.0824759010001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
196	-200.0	q	200.0																	1.0	0.0	1.0	0.0	18.0	0.0	72.0	1.0																													q	1.0	0.384553909302	None	0.0	2.0	triangleblue.gif	go																								2.25	0.514236927032	0.0009379386901860002	0.384553909302	1.0	q	760.086261988																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
197	-200.0	q	200.0																	1.0	0.0	1.0	0.0	18.0	1.0	73.0	1.0																													q	1.0	0.434397220612	None	0.0	2.0	diamondmagenta.gif	stop																								0.0	0.513798952103	0.0008950233459470001	0.434397220612	1.0	q	763.089360952																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
198	200.0	w	200.0																	1.0	0.0	1.0	0.0	18.0	2.0	74.0	0.0																													w	1.0	0.317002058029	None	0.0	1.0	crosscyan.gif	stop																								0.75	0.514461994171	0.0008761882781980001	0.317002058029	1.0	w	766.09279108																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
