	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
13				m	0.0	200.0										1.0	0.0	2.0	1.0																																																												186.17280197099998	go	diamondorange.gif	go	0.5	m	1.0	None	0.0	0.00110006332397	0.5153779983519999		189.17554092400002	0.650989055634																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																												189.17591691	go	invertedtriangleyellow.gif	go	4.0	z	1.0	None	0.0	0.000969886779785	0.515690803528		192.17919993400002	0.434321165085																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																												192.17957186700002	stop	squarewhite.gif	stop	1.0	m	1.0	None	0.0	0.00100207328796	0.515428066254	0.7661440372470001	195.18247795099998	0.550766944885																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																												195.182864904	go	linemagenta.gif	go	2.0	m	1.0	None	0.0	0.0010688304901099999	0.515885829926		198.185408831	0.667594909668																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																												198.185782909	stop	circlecyan.gif	stop	2.0	z	1.0	None	0.0	0.000966787338257	0.515949964523	0.766243934631	201.18924498599998	0.417564868927																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																												201.189610004	go	invertedtriangleyellow.gif	go	4.0	z	1.0	None	0.0	0.0012121200561500001	0.5153901577000001		204.19212389	0.7512028217319999																																										2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																												204.19252181099998	stop	squarewhite.gif	stop	1.0	None	0.0	None	0.0	0.00095796585083	0.516000032425	0.766535997391	207.19568491																																											2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
20				z	0.0	-200.0										4.0	1.0	9.0	0.0																																																												207.196054935	stop	crossblue.gif	stop	0.5	None	0.0	None	0.0	0.0009589195251460001	0.515710830688	0.766019821167	210.19918990099998																																											2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
21																																																																																													9.0	52.9636609554																																								2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
22																																																						9.0	8.876393079760001																																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
23	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0																													a	1.0	None	0.0		4.0	hexagongray.gif	stop								0.450797080994																								4.0	0.509801149368	0.00105094909668	0.450797080994	1.0	a	275.18961191200003																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
