	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	feedbackResp.rt	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
505				m	0.0	200.0																											2.0	0.0	2.0	0.0	3.0	0.0	6.0	1.0																															1950.01181817	go	hexagonwhite.gif	go	1.0	m	1.0	0.768049001694	None	0.0	0.000983953475952	0.515053033829		1953.0151422000001																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
506				z	0.0	-200.0																											2.0	0.0	2.0	0.0	3.0	1.0	7.0	0.0																															1953.01565003	go	hexagonwhite.gif	go	1.0	z	1.0	0.334091901779	None	0.0	0.000941038131714	0.514569997787		1956.01805711																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
507				m	0.0	200.0																											2.0	0.0	2.0	0.0	4.0	0.0	8.0	1.0																															1956.0185082000003	go	circleyellow.gif	go	2.0	m	1.0	0.500870943069	None	0.0	0.0009279251098630001	0.515244960785		1959.02118611																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
508				z	0.0	-200.0																											2.0	0.0	2.0	0.0	4.0	1.0	9.0	0.0																															1959.02164102	go	invertedtrianglemagenta.gif	go	4.0	z	1.0	0.6175391674040001	None	0.0	0.000941038131714	0.515380859375		1962.02484918																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
509				m	0.0	200.0																											2.0	0.0	2.0	0.0	5.0	0.0	10.0	1.0																															1962.02530122	go	crossorange.gif	stop	2.0	m	1.0	0.651270866394	None	0.0	0.0009469985961910001	0.5153400897980001		1965.02809215																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
510				z	0.0	-200.0																											2.0	0.0	2.0	0.0	5.0	1.0	11.0	0.0																															1965.02854705	go	lineblue.gif	stop	0.5	z	1.0	0.450501918793	None	0.0	0.0009248256683350001	0.515526771545		1968.03142405																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
511				z	0.0	-200.0																											2.0	0.0	2.0	0.0	6.0	0.0	12.0	0.0																															1968.03193116	go	circleyellow.gif	go	2.0	z	1.0	0.434248924255	None	0.0	0.000908851623535	0.514992952347		1971.03513122																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
512				m	0.0	200.0																											2.0	0.0	2.0	0.0	6.0	1.0	13.0	1.0																															1971.03558207	stop	crossorange.gif	stop	2.0	m	1.0	0.400782108307	None	0.0	0.0009291172027589999	0.514970064163	1.06545901299	1974.03843307																				0.55	0.5																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
513				z	0.0	-200.0																											2.0	0.0	2.0	0.0	7.0	0.0	14.0	0.0																															1974.03889418	stop	crossorange.gif	stop	2.0	z	1.0	0.484200000763	None	0.0	0.0013000965118399998	0.5148091316219999	1.01561594009	1977.04170918																				0.5	0.45																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
514				z	0.0	-200.0																											2.0	0.0	2.0	0.0	7.0	1.0	15.0	0.0																															1977.04216123	stop	crossorange.gif	stop	2.0	None	0.0		None	0.0	0.0009279251098630001	0.5151188373569999	0.9655358791349999	1980.04532409																				0.45	0.5																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
515				z	0.0	-200.0																											2.0	0.0	2.0	0.0	8.0	0.0	16.0	0.0																															1980.04578519	go	hexagonwhite.gif	go	1.0	z	1.0	0.567533016205	None	0.0	0.000951051712036	0.514604091644		1983.04799104																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
516				z	0.0	-200.0																											2.0	0.0	2.0	0.0	8.0	1.0	17.0	0.0																															1983.04844403	stop	lineblue.gif	stop	0.5	None	0.0		None	0.0	0.00106406211853	0.515664100647	1.0162060260799999	1986.05200601																				0.5	0.55																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
517				m	0.0	200.0																											2.0	0.0	2.0	0.0	9.0	0.0	18.0	1.0																															1986.05267	go	invertedtrianglemagenta.gif	go	4.0	m	1.0	0.634253025055	None	0.0	0.0009198188781739999	0.514715909958		1989.05494118																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
518				m	0.0	200.0																											2.0	0.0	2.0	0.0	9.0	1.0	19.0	1.0																															1989.05541301	go	invertedtrianglemagenta.gif	go	4.0	m	1.0	0.901144981384	None	0.0	0.00092601776123	0.515289068222		1992.05838704																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
519				z	0.0	-200.0																											2.0	0.0	2.0	0.0	10.0	0.0	20.0	0.0																															1992.05903721	stop	diamondgreen.gif	stop	4.0	z	1.0	0.650974035263	None	0.0	0.0009710788726810001	0.514754056931	1.06559109688	1995.06203318																				0.55	0.5																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
520				z	0.0	-200.0																											2.0	0.0	2.0	0.0	10.0	1.0	21.0	0.0																															1995.06248522	go	circleyellow.gif	go	2.0	z	1.0	0.601377010345	None	0.0	0.000962018966675	0.514855146408		1998.06519604																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
521				z	0.0	-200.0																											2.0	0.0	2.0	0.0	11.0	0.0	22.0	0.0																															1998.06566715	go	lineblue.gif	stop	0.5	z	1.0	0.734225988388	None	0.0	0.000940799713135	0.514889955521		2001.06874824																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
