	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	key_resp_9.rt	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				227.772534132	stop	squarewhite.gif	stop	1.0	z	1.0	0.35080909729000004	None	0.0	0.00098705291748	0.515897035599	230.77539110200001	0.765586137772																																											2015_Jun_24_1402	59.94123498	LearningTask	1	65	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																				230.775974035	go	hexagonmagenta.gif	go	4.0	m	1.0	0.36699795723000006	None	0.0	0.00155520439148	0.515376091003	233.778629065																																												2015_Jun_24_1402	59.94123498	LearningTask	1	65	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				233.77905511900002	go	hexagonmagenta.gif	go	4.0	z	1.0	0.467550992966	None	0.0	0.00100111961365	0.5158791542050001	236.781965017																																												2015_Jun_24_1402	59.94123498	LearningTask	1	65	
17				m	0.0	200.0										3.0	0.0	6.0	1.0																																																				236.782341003	stop	lineorange.gif	stop	4.0	m	1.0	0.5011451244349999	None	0.0	0.00134205818176	0.515832185745	239.78581905400003	0.7665021419529999																																											2015_Jun_24_1402	59.94123498	LearningTask	1	65	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																				239.786241055	stop	squarewhite.gif	stop	1.0	None	0.0		None	0.0	0.00130796432495	0.515274047852	242.788838148	0.7655899524690001																																											2015_Jun_24_1402	59.94123498	LearningTask	1	65	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																				242.78921604200002	stop	squarewhite.gif	stop	1.0	None	0.0		None	0.0	0.0009570121765139998	0.515818119049	245.792052984	0.7661130428309999																																											2015_Jun_24_1402	59.94123498	LearningTask	1	65	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																				245.79242515599998	go	crossyellow.gif	go	0.5	m	1.0	0.51771903038	None	0.0	0.000964879989624	0.515852928162	248.795602083																																												2015_Jun_24_1402	59.94123498	LearningTask	1	65	
21																																																																																					9.0	85.7130820751																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
22																																																						9.0	8.6259829998																																																																								2015_Jun_24_1402	59.94123498	LearningTask	1	65	
23	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													w	1.0	0.634492874146	None	0.0	1.0	squarewhite.gif	stop																								1.07	0.508255004883	0.000962018966675	0.634492874146	1.0	w	346.27350211099997																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
24	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																													w	1.0	0.384747982025	None	0.0	4.0	hexagonmagenta.gif	go																								3.76	0.5130829811100001	0.000938892364502	0.384747982025	1.0	w	349.275905132																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
25	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0																													q	1.0	0.550910949707	None	0.0	4.0	hexagonmagenta.gif	go																								4.12	0.514177083969	0.0009150505065920001	0.550910949707	1.0	q	352.279244184																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
26	200.0	s	-200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0																													s	1.0	0.367705106735	None	0.0	2.0	circlegreen.gif	go																								0.0	0.514303207397	0.00100207328796	0.367705106735	1.0	s	355.282930136																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
27	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0																													q	1.0	0.334199905396	None	0.0	1.0	squarewhite.gif	stop																								0.94	0.513894081116	0.0009069442749019998	0.334199905396	1.0	q	358.285732985																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
28	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	0.350845098495	None	0.0	4.0	hexagonmagenta.gif	go																								0.0	0.5144591331480001	0.0011191368103	0.350845098495	1.0	s	361.289570093																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
29	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	2.0																													s	1.0	0.38424706458999996	None	0.0	2.0	circlegreen.gif	go																								1.99	0.514013051987	0.00095009803772	0.38424706458999996	1.0	s	364.29284215																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
30	200.0	w	200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	0.0																													w	1.0	0.300525903702	None	0.0	0.5	crossyellow.gif	go																								0.62	0.51428103447	0.000931024551392	0.300525903702	1.0	w	367.29606819199995																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
31	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0																													w	1.0	0.350742101669	None	0.0	4.0	hexagonmagenta.gif	go																								4.12	0.51411986351	0.000992774963379	0.350742101669	1.0	w	370.299601078																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
32	-200.0	q	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	1.0																													q	1.0	0.316986083984	None	0.0	2.0	invertedtrianglecyan.gif	stop																								2.19	0.514310121536	0.0009150505065920001	0.316986083984	1.0	q	373.302703142																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
