	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
731																																									0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0																							3241.59578085													3247.61793399																								o	4.37101101875	5.35373711586	invertedtrianglecyan.gif	[49, 245, 294, 147, 196, 98]	1.0	go	98.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
732																																									0.0	0.0	0.0	0.0	16.0	0.0	16.0	0.0																							3247.61941695													3253.62476897																								o	1.5016520023299997	2.50343704224	squaregreen.gif	[270, 216, 108, 324, 162, 54]	0.5	go	54.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
733																																									0.0	0.0	0.0	0.0	17.0	0.0	17.0	0.0																							3253.62581587													3259.63122797																								y	1.7019221782700003	2.70311594009	lineorange.gif	[117, 156, 234, 78, 39, 195]	4.0	go	234.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
734																																									0.0	0.0	0.0	0.0	18.0	0.0	18.0	0.0																							3259.63225389													3265.63787985																								y	4.18759417534	5.18950605392	diamondblue.gif	[324, 270, 162, 216, 54, 108]	2.0	stop	162.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
735																																									0.0	0.0	0.0	0.0	19.0	0.0	19.0	0.0																							3265.63906288													3271.64468598																								u	3.30398583412	4.30418801308	invertedtrianglecyan.gif	[220, 264, 44, 88, 176, 132]	1.0	go	88.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
736																																									1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																							3279.27188396													3285.29347396																								r	1.9023699760400001	2.90143799782	lineorange.gif	[204, 170, 68, 102, 136, 34]	4.0	go	204.0	9.0	5.819517135619999									2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
737																																									1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0																							3285.29505587													3291.30028605																								t	2.51898813248	3.51981902122	diamondblue.gif	[162, 108, 54, 324, 216, 270]	2.0	stop	108.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
738																																									1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0																							3291.30132794													3297.306916																								o	1.8023700714099997	2.80230307579	diamondblue.gif	[136, 102, 34, 170, 68, 204]	2.0	stop	204.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
739																																									1.0	0.0	1.0	0.0	3.0	0.0	3.0	0.0																							3297.30806184													3303.33043504																								r	2.9363799095200003	3.93432188034	crosswhite.gif	[102, 170, 68, 34, 204, 136]	1.0	stop	102.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
740																																									1.0	0.0	1.0	0.0	4.0	0.0	4.0	0.0																							3303.33145094													3309.337075																								y	2.33623600006	3.3380150795	hexagongray.gif	[108, 324, 216, 54, 162, 270]	2.0	go	216.0											2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
