	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	resp.rt	thirdPracComputedRewardOutput	thirdPracLearningStimOnset	thirdPracLearningFixOnset	thirdPracPresentationRT	thirdPracPresentationAcc	thirdPracPresentationResp	thirdPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
474				z	0.0	-200.0																											1.0	0.0	1.0	0.0	5.0	1.0	11.0	0.0																																														1791.60731006	go	circlegray.gif	go	0.5	z	1.0	0.5173521041870001	None	0.0	0.000948190689087	0.5149040222169999	1794.60953808																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
475				z	0.0	-200.0																											1.0	0.0	1.0	0.0	6.0	0.0	12.0	0.0																																														1794.60999799	go	circlegray.gif	go	0.5	z	1.0	0.584161996841	None	0.0	0.0009479522705080001	0.515141963959	1797.6132772																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
476				m	0.0	200.0																											1.0	0.0	1.0	0.0	6.0	1.0	13.0	1.0																																														1797.61373615	stop	crosscyan.gif	stop	2.0	None	0.0		None	0.0	0.00119709968567	0.515161037445	1800.61632109	0.66548705101																			0.15	0.2																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
477				m	0.0	200.0																											1.0	0.0	1.0	0.0	7.0	0.0	14.0	1.0																																														1800.61687016	go	invertedtriangleorange.gif	go	4.0	m	1.0	0.484179019928	None	0.0	0.0009529590606689998	0.515023946762	1803.62052202																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
478				z	0.0	-200.0																											1.0	0.0	1.0	0.0	7.0	1.0	15.0	0.0																																														1803.62103105	stop	diamondwhite.gif	stop	4.0	None	0.0		None	0.0	0.0009469985961910001	0.514404058456	1806.62338901	0.664900064468																			0.15	0.2																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
479				m	0.0	200.0																											1.0	0.0	1.0	0.0	8.0	0.0	16.0	1.0																																														1806.62384319	stop	diamondwhite.gif	stop	4.0	None	0.0		None	0.0	0.00092601776123	0.5152721405030001	1809.62671804	0.715286016464																			0.2	0.25																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
480				z	0.0	-200.0																											1.0	0.0	1.0	0.0	8.0	1.0	17.0	0.0																																														1809.62717009	go	invertedtriangleorange.gif	go	4.0	z	1.0	0.618046045303	None	0.0	0.0009450912475589999	0.514966011047	1812.63007808																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
481				z	0.0	-200.0																											1.0	0.0	1.0	0.0	9.0	0.0	18.0	0.0																																														1812.63054705	go	circlegray.gif	go	0.5	z	1.0	0.4842441082	None	0.0	0.000951051712036	0.514901161194	1815.63333511																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
482				z	0.0	-200.0																											1.0	0.0	1.0	0.0	9.0	1.0	19.0	0.0																																														1815.63379312	go	invertedtriangleorange.gif	go	4.0	z	1.0	0.550990104675	None	0.0	0.0009350776672360002	0.515106916428	1818.63686514																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
483				m	0.0	200.0																											1.0	0.0	1.0	0.0	10.0	0.0	20.0	1.0																																														1818.6373210000002	go	hexagonmagenta.gif	go	1.0	m	1.0	0.317426919937	None	0.0	0.0009508132934569999	0.514639854431	1821.63977909																				-1.0	-1.0																						2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
