xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,feedbackResp.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,21,0,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.467415809631,None,0,2.0,trianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.513768196106,0.000954151153564,0.467415809631,1,s,1180.924119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,21,1,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.30073094368,None,0,0.5,diamondyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514063119888,0.000874996185303,0.30073094368,1,q,1183.92718005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,21,2,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.918179988861,None,0,0.5,diamondyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.514297008514,0.000872135162354,0.918179988861,1,q,1186.93078399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,21,3,87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.401239871979,None,0,0.5,diamondyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.513846158981,0.00088095664978,0.401239871979,1,s,1189.93424702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,22,0,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400563955307,None,0,4.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514176130295,0.000874042510986,[],0,None,1192.93697405,4.0,0.51603102684,0.000934839248657,0.400563955307,1,q,1195.94059587,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,22,1,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.383810043335,None,0,0.5,diamondyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.514537096024,0.00117611885071,0.383810043335,1,w,1198.94378996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,22,2,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.484302043915,None,0,0.5,hexagoncyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514475822449,0.00090479850769,0.484302043915,1,a,1201.94714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,22,3,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334331989288,None,0,4.0,squarewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514304876328,0.00104403495789,0.334331989288,1,w,1204.95095301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,23,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.35059595108,None,0,4.0,squarewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,0.514023065567,0.00088095664978,0.35059595108,1,w,1207.95400691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,23,1,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.451179027557,None,0,4.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.514100074768,0.000935077667236,0.451179027557,1,q,1210.95731187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1354,59.8960392081,LearningTask,1,75,
