xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,feedbackResp.rt,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,16,1,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728.82272696,go,circleorange.gif,go,0.5,z,1,0.317856788635,None,0,0.000933170318604,0.515425205231,,2731.82572103,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,17,0,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2731.82632208,go,circleorange.gif,go,0.5,m,1,0.334436893463,None,0,0.000935792922974,0.515232801437,,2734.82948208,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,17,1,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2734.82994509,go,linegreen.gif,go,2.0,m,1,0.317683935165,None,0,0.000930070877075,0.514930009842,,2737.83256793,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23.0270950794,,,,,,,,,,,,,,,,,,,,9,247.227504969,,,,,,,,,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3010.09018087,,,,,,,,,,,,,3016.1115129,,,,,,,,,,,,,,,,,,,,,,,,None,5.97082710266,crossmagenta.gif,"[49, 245, 294, 196, 147, 98]",4.0,stop,0,,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,3016.11293197,,,,,,,,,,,,,3022.11846709,,,,,,,,,,,,,,,,,,,,,,,,t,3.90407896042,triangleyellow.gif,"[39, 78, 195, 234, 117, 156]",4.0,go,78,2.90318512917,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,3022.11953306,,,,,,,,,,,,,3028.125278,,,,,,,,,,,,,,,,,,,,,,,,i,3.55445408821,hexagonwhite.gif,"[195, 39, 78, 117, 234, 156]",1.0,stop,234,2.55287504196,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,3028.12630892,,,,,,,,,,,,,3034.13195705,,,,,,,,,,,,,,,,,,,,,,,,u,3.73775696754,linegreen.gif,"[88, 176, 264, 220, 44, 132]",2.0,go,220,2.73633599281,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,3034.1331439,,,,,,,,,,,,,3040.13842106,,,,,,,,,,,,,,,,,,,,,,,,o,3.70373916626,invertedtrianglecyan.gif,"[54, 216, 324, 108, 270, 162]",0.5,stop,162,2.70307993889,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,3040.13948607,,,,,,,,,,,,,3046.14526296,,,,,,,,,,,,,,,,,,,,,,,,y,4.27117395401,triangleyellow.gif,"[88, 220, 132, 264, 176, 44]",4.0,go,132,3.28707003593,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,3046.1462791,,,,,,,,,,,,,3052.15202999,,,,,,,,,,,,,,,,,,,,,,,,t,4.52236390114,hexagonwhite.gif,"[88, 132, 44, 220, 176, 264]",1.0,stop,132,3.52069807053,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,3052.15310907,,,,,,,,,,,,,3058.15875292,,,,,,,,,,,,,,,,,,,,,,,,y,4.35481905937,hexagonwhite.gif,"[108, 270, 162, 216, 324, 54]",1.0,stop,162,3.35402202606,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,3058.159899,,,,,,,,,,,,,3064.16552997,,,,,,,,,,,,,,,,,,,,,,,,u,3.63757395744,invertedtrianglecyan.gif,"[39, 234, 195, 117, 156, 78]",0.5,stop,117,2.63664412498,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,3064.16658092,,,,,,,,,,,,,3070.17220306,,,,,,,,,,,,,,,,,,,,,,,,i,4.58923888206,triangleyellow.gif,"[34, 68, 204, 136, 170, 102]",4.0,go,170,3.58765983582,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,3070.17324901,,,,,,,,,,,,,3076.17911601,,,,,,,,,,,,,,,,,,,,,,,,o,2.82102108002,circleorange.gif,"[88, 220, 44, 176, 264, 132]",0.5,go,132,1.83549308777,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,3076.18014407,,,,,,,,,,,,,3082.186028,,,,,,,,,,,,,,,,,,,,,,,,y,4.03799700737,diamondgray.gif,"[195, 234, 117, 78, 39, 156]",1.0,go,117,3.03682088852,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,3082.1876111,,,,,,,,,,,,,3088.19275188,,,,,,,,,,,,,,,,,,,,,,,,u,3.85381412506,circleorange.gif,"[156, 234, 78, 117, 39, 195]",0.5,go,117,2.85348200798,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,3088.19413805,,,,,,,,,,,,,3094.2158711,,,,,,,,,,,,,,,,,,,,,,,,t,4.08574104309,invertedtrianglecyan.gif,"[270, 216, 108, 54, 162, 324]",0.5,stop,216,3.0871181488,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,3094.21690392,,,,,,,,,,,,,3100.2228291,,,,,,,,,,,,,,,,,,,,,,,,u,5.40475606918,hexagonwhite.gif,"[136, 204, 170, 68, 102, 34]",1.0,stop,68,4.40520310402,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,3100.22388005,,,,,,,,,,,,,3106.22977996,,,,,,,,,,,,,,,,,,,,,,,,u,3.85298109055,circleorange.gif,"[98, 49, 196, 147, 294, 245]",0.5,go,147,2.85347604752,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,3106.23111296,,,,,,,,,,,,,3112.23621297,,,,,,,,,,,,,,,,,,,,,,,,i,4.58840990067,invertedtrianglecyan.gif,"[136, 34, 170, 68, 102, 204]",0.5,stop,102,3.58785510063,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,3112.23726296,,,,,,,,,,,,,3118.25967908,,,,,,,,,,,,,,,,,,,,,,,,t,4.78489995003,circleorange.gif,"[49, 245, 196, 98, 294, 147]",0.5,go,245,3.78780698776,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,3118.26073098,,,,,,,,,,,,,3124.26645899,,,,,,,,,,,,,,,,,,,,,,,,u,4.70467114449,circleorange.gif,"[270, 108, 54, 162, 324, 216]",0.5,go,162,3.70433497429,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,3124.26761603,,,,,,,,,,,,,3130.27374792,,,,,,,,,,,,,,,,,,,,,,,,y,3.51913905144,linegreen.gif,"[98, 245, 196, 49, 294, 147]",2.0,go,196,2.51974201202,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3143.64028192,,,,,,,,,,,,,3149.64489603,,,,,,,,,,,,,,,,,,,,,,,,y,3.88731408119,circleorange.gif,"[78, 234, 117, 156, 195, 39]",0.5,go,117,2.88670396805,9,11.3802649975,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,3149.64635801,,,,,,,,,,,,,3155.65161204,,,,,,,,,,,,,,,,,,,,,,,,t,2.96884989738,invertedtrianglecyan.gif,"[294, 245, 147, 98, 196, 49]",0.5,stop,245,1.96906900406,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,3155.65267301,,,,,,,,,,,,,3161.65866995,,,,,,,,,,,,,,,,,,,,,,,,t,1.13374018669,triangleyellow.gif,"[147, 49, 98, 245, 196, 294]",4.0,go,49,0.133893966675,,,,,,,,,,,2015_Jul_06_1123,59.7196767341,LearningTask,1,77,
