xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,7,3,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367219924927,None,0,2.0,triangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.21,0.514263868332,0.000954866409302,0.367219924927,1,w,327.866518021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,8,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.301031112671,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514461040497,0.000927925109863,0.301031112671,1,w,330.870052099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,8,1,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367812871933,None,0,0.5,linewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.514060020447,0.000920057296753,0.367812871933,1,s,333.87333703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,8,2,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.334119081497,None,0,0.5,linewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.514268159866,0.000993013381958,0.334119081497,1,a,336.876578093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,8,3,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350400924683,None,0,1.0,circlegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.514572143555,0.000943183898926,0.350400924683,1,a,339.880230904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,9,0,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.484409809113,None,0,4.0,invertedtrianglegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.85,0.514083862305,0.000894069671631,0.484409809113,1,q,342.884047031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,9,1,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.317552804947,None,0,1.0,crosscyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.513602972031,0.000940084457397,0.317552804947,1,a,345.886893034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,9,2,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367626190186,None,0,2.0,triangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514084100723,0.000922203063965,0.367626190186,1,a,348.890094995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,9,3,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.41731595993,None,0,0.5,linewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.514424085617,0.000904083251953,0.41731595993,1,w,351.893537045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,10,0,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367630004883,None,0,0.5,hexagonyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.513971090317,0.000956058502197,0.367630004883,1,a,354.896891117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,10,1,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.383904933929,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.51461315155,0.000907182693481,0.383904933929,1,s,357.900216103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,10,2,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.38436293602,None,0,0.5,hexagonyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.514349222183,0.000898122787476,0.38436293602,1,q,360.90360713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
