xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,feedbackResp.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,7,0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.500988006592,None,0,0.5,circlegray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.514590024948,0.000906944274902,0.500988006592,1,s,380.209852934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,7,1,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434206962585,None,0,0.5,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.514268875122,0.000909805297852,0.434206962585,1,a,383.213062048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,7,2,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.401002883911,None,0,2.0,invertedtrianglewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.98,0.514407873154,0.000954866409302,0.401002883911,1,s,386.216347933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,7,3,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.36748290062,None,0,0.5,circlegray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514631986618,0.000900983810425,0.36748290062,1,w,389.219974995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,8,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.467548847198,None,0,2.0,triangleorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.514181137085,0.00090503692627,0.467548847198,1,q,392.223294973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,8,1,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434079170227,None,0,2.0,invertedtrianglewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514361858368,0.000944852828979,0.434079170227,1,q,395.226522923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,8,2,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.468219995499,None,0,1.0,linecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.514189004898,0.000892877578735,0.468219995499,1,a,398.229980946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,8,3,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.451216936111,None,0,0.5,circlegray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.514446973801,0.000913858413696,0.451216936111,1,a,401.233250856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,9,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.401527881622,None,0,2.0,triangleorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.92,0.514111995697,0.000947952270508,0.401527881622,1,w,404.236685991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,9,1,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.50062084198,None,0,0.5,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514759063721,0.000958919525146,0.50062084198,1,a,407.240164995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_0953,60.1413233,LearningTask,1,80,
