xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.82092595,stop,squaremagenta.gif,stop,4.0,m,1,0.350985050201,None,0,0.000929832458496,0.515024900436,1.11603093147,2403.82393289,,,,,,,,,,,,,,,,,,,,0.6,0.55,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403.82438993,stop,squaremagenta.gif,stop,4.0,z,1,0.567399978638,None,0,0.00092601776123,0.515228033066,1.11593008041,2406.82712793,,,,,,,,,,,,,,,,,,,,0.6,0.55,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.82758093,go,trianglegreen.gif,stop,1.0,z,1,0.384332895279,None,0,0.000930070877075,0.514805078506,,2409.8302629,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.8307209,go,circlecyan.gif,go,2.0,m,1,0.300312995911,None,0,0.000977993011475,0.515511989594,,2412.83395696,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.83441496,go,circlecyan.gif,go,2.0,m,1,0.350512981415,None,0,0.000927925109863,0.515163898468,,2415.83744502,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415.83791399,stop,squaremagenta.gif,stop,4.0,m,1,0.551711082458,None,0,0.000924110412598,0.514913082123,1.06584000587,2418.84061694,,,,,,,,,,,,,,,,,,,,0.55,0.5,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,4,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.84120107,stop,trianglegreen.gif,stop,1.0,z,1,0.534577846527,None,0,0.000961065292358,0.514607191086,1.06534814835,2421.84395409,,,,,,,,,,,,,,,,,,,,0.55,0.5,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.84440804,go,diamondwhite.gif,go,0.5,m,1,0.951089143753,None,0,0.000930070877075,0.515374898911,,2424.84733605,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,5,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.84779406,go,diamondwhite.gif,go,0.5,m,1,0.367604017258,None,0,0.000931024551392,0.514885902405,,2427.85059094,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,5,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.85110593,stop,squaremagenta.gif,stop,4.0,m,1,0.484725952148,None,0,0.000940084457397,0.514899015427,1.01540803909,2430.85426688,,,,,,,,,,,,,,,,,,,,0.5,0.45,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1125,59.9516876449,LearningTask,1,63,
