xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,15,0,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.451375007629,None,0,1.0,hexagoncyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.51410984993,0.000890970230103,0.451375007629,1,s,1234.13339686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,15,1,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.500618934631,None,0,1.0,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.514007091522,0.000874042510986,0.500618934631,1,s,1237.13712692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,15,2,62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.433214902878,None,0,1.0,hexagoncyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.513883113861,0.000880002975464,0.433214902878,1,s,1240.14018393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,15,3,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400429010391,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.15,0.51392698288,0.000869035720825,0.400429010391,1,q,1243.14332104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,16,0,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.400794029236,None,0,0.5,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.514178037643,0.000877857208252,0.400794029236,1,a,1246.1473279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,16,1,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367370128632,None,0,2.0,squaremagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.513364076614,0.000909090042114,0.367370128632,1,w,1249.14984584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,16,2,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.500282049179,None,0,1.0,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.514867067337,0.000876188278198,0.500282049179,1,a,1252.15347695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,16,3,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.434064865112,None,0,4.0,diamondgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.89,0.51414513588,0.000871181488037,0.434064865112,1,w,1255.15692496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,17,0,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.61795592308,None,0,0.5,trianglewhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.513976097107,0.00090503692627,0.61795592308,1,a,1258.16032791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,17,1,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.401168107986,None,0,4.0,diamondgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.86,0.514199018478,0.00105810165405,0.401168107986,1,w,1261.1633029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
