xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,2,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350817203522,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.514627933502,0.000910997390747,0.350817203522,1,w,568.405781984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,20,3,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334258079529,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514415979385,0.000909090042114,0.334258079529,1,w,571.409564018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,21,0,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350688934326,None,0,4.0,diamondorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.513790130615,0.000892162322998,0.350688934326,1,a,574.412861109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.300580978394,None,0,0.5,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.51407289505,0.000895023345947,0.300580978394,1,w,577.415992975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,21,2,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.300828933716,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.02,0.514494180679,0.000896215438843,0.300828933716,1,q,580.419459105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,21,3,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.284838914871,None,0,0.5,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.514189958572,0.000890016555786,0.284838914871,1,w,583.422616005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,22,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.300878047943,None,0,1.0,squaregreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514529943466,0.000887870788574,0.300878047943,1,w,586.425975084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,1,89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367044210434,None,0,0.5,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.514412879944,0.00142097473145,0.367044210434,1,a,589.429415941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,22,2,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434735059738,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.22,0.514004945755,0.000970840454102,0.434735059738,1,a,592.432865143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,22,3,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400861024857,None,0,4.0,diamondorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.514549970627,0.00101900100708,0.400861024857,1,q,595.436228991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334156036377,None,0,1.0,squaregreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.514482975006,0.000891923904419,0.334156036377,1,w,598.439578056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,23,1,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334431886673,None,0,2.0,crossgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.19,0.514513969421,0.00090503692627,0.334431886673,1,w,601.44284296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,23,2,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.350843191147,None,0,0.5,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.51439499855,0.000939130783081,0.350843191147,1,s,604.446372032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,23,3,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.367386817932,None,0,0.5,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.514647960663,0.00115609169006,0.367386817932,1,q,607.44984293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,0,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.333576917648,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.514610052109,0.000915050506592,0.333576917648,1,s,610.453355074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,1,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.367619991302,None,0,2.0,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.17,0.513650894165,0.000931978225708,0.367619991302,1,q,613.456435919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,24,2,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.433755159378,None,0,0.5,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514621973038,0.000937938690186,0.433755159378,1,s,616.459739923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.383874893188,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514251947403,0.000900983810425,0.383874893188,1,q,619.463613987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
