xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,goResp.rt,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,18,0,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.317954063416,None,0,2.0,circlecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.514252901077,0.000996828079224,0.317954063416,1,q,761.527709961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,18,1,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.500737190247,None,0,1.0,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.514642953873,0.000878095626831,0.500737190247,1,s,764.531212091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,18,2,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.568214893341,None,0,4.0,lineyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.513984918594,0.000875949859619,0.568214893341,1,a,767.534776926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,18,3,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.367129087448,None,0,0.5,trianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.513971090317,0.000890016555786,0.367129087448,1,q,770.537857056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,19,0,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.334127902985,None,0,0.5,hexagonorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.514036178589,0.000868082046509,0.334127902985,1,q,773.54122591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,19,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.500952959061,None,0,2.0,circlecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.89,0.514351844788,0.000872850418091,0.500952959061,1,s,776.544925928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,19,2,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.534060955048,None,0,0.5,trianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.514034032822,0.000990152359009,0.534060955048,1,a,779.548075914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,19,3,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.300742149353,None,0,2.0,circlecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.514255046844,0.00103616714478,0.300742149353,1,w,782.551645994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.384773015976,None,0,0.5,trianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514101982117,0.000953912734985,0.384773015976,1,a,785.555025101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,1,81,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.36794090271,None,0,4.0,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.513611078262,0.000897169113159,0.36794090271,1,a,788.558105946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
