xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,resp.rt,thirdPracComputedRewardOutput,thirdPracLearningStimOnset,thirdPracLearningFixOnset,thirdPracPresentationRT,thirdPracPresentationAcc,thirdPracPresentationResp,thirdPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,17,3,71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,None,0,,1.0,trianglegreen.gif,stop,,,,,,,,,,,,,,,0.383969068527,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.514106035233,0.000891923904419,0.383969068527,1,a,1111.0293982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,18,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,4.0,diamondwhite.gif,stop,,,,,,,,,,,,,,,0.334228992462,,,,,,,,,,,,,,,,,,,,,,,,3.98,0.514196872711,0.000877857208252,0.334228992462,1,w,1114.03300405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,18,1,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,0.5,circlegray.gif,go,,,,,,,,,,,,,,,0.317244052887,,,,,,,,,,,,,,,,,,,,,,,,0,0.514317035675,0.000881910324097,0.317244052887,1,w,1117.036726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,18,2,74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,0.5,circlegray.gif,go,,,,,,,,,,,,,,,0.400579929352,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.513823032379,0.000879049301147,0.400579929352,1,s,1120.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,18,3,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,2.0,squareblue.gif,go,,,,,,,,,,,,,,,0.351362943649,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.513977050781,0.000975131988525,0.351362943649,1,w,1123.04280615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,19,0,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,None,0,,0.5,circlegray.gif,go,,,,,,,,,,,,,,,0.401360988617,,,,,,,,,,,,,,,,,,,,,,,,0,0.514341115952,0.000893115997314,0.401360988617,1,a,1126.04640603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,19,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,4.0,diamondwhite.gif,stop,,,,,,,,,,,,,,,0.401329994202,,,,,,,,,,,,,,,,,,,,,,,,0,0.514219999313,0.000885963439941,0.467285871506,0,w,1129.04980206,4.04,0.515100002289,0.000946044921875,0.401329994202,1,s,1132.05331016,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,19,2,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,1.0,hexagonmagenta.gif,go,,,,,,,,,,,,,,,0.434021949768,,,,,,,,,,,,,,,,,,,,,,,,0,0.514156103134,0.000881910324097,0.434021949768,1,q,1135.0563221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,19,3,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,2.0,crosscyan.gif,stop,,,,,,,,,,,,,,,0.384077787399,,,,,,,,,,,,,,,,,,,,,,,,1.94,0.514468193054,0.000879049301147,0.384077787399,1,w,1138.05963206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,20,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,1.0,trianglegreen.gif,stop,,,,,,,,,,,,,,,0.384006023407,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.514161109924,0.00092601776123,0.384006023407,1,w,1141.06307697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1444,59.9035671031,LearningTask,1,39,
