xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,13,1,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.58679485,stop,invertedtrianglegreen.gif,stop,4.0,None,0,,None,0,0.000954151153564,0.514636993408,2335.58990598,1.26560997963,,,,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,14,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335.59036398,go,lineorange.gif,go,4.0,None,0,,None,0,0.000984907150269,0.515125989914,2338.59277987,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,14,1,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.59325004,go,crossmagenta.gif,go,0.5,None,0,,z,1,0.000962018966675,0.515362024307,2341.59689784,,,,,,,,,,,,,,,,,,,,,-1,-1,0.300367116928,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,15,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341.597368,go,triangleyellow.gif,stop,2.0,m,1,0.967795133591,None,0,0.000932931900024,0.515090942383,2344.59965682,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,15,1,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.60016584,go,squareblue.gif,go,2.0,None,0,,z,1,0.000953197479248,0.515031099319,2347.60305691,,,,,,,,,,,,,,,,,,,,,-1,-1,0.0668029785156,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,16,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.60356402,go,squareblue.gif,go,2.0,None,0,,m,1,0.000951051712036,0.51513504982,2350.60704684,,,,,,,,,,,,,,,,,,,,,-1,-1,0.250220060349,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,16,1,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350.60750294,go,lineorange.gif,go,4.0,z,1,0.801023960114,None,0,0.000936985015869,0.515006065369,2353.609864,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,17,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353.61032295,stop,invertedtrianglegreen.gif,stop,4.0,None,0,,None,0,0.00107622146606,0.515357017517,2356.61359191,1.2158601284,,,,,,,,,,,,,,,,,,,,0.7,0.75,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,17,1,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356.61406684,go,lineorange.gif,go,4.0,None,0,,z,1,0.000928163528442,0.514963150024,2359.61690593,,,,,,,,,,,,,,,,,,,,,-1,-1,0.100014925003,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.19804502,go,diamondgray.gif,stop,0.5,None,0,,m,1,0.00092601776123,0.508763074875,2429.19542503,,9,65.0264117718,,,,,,,,,,,,,,,,,,-1,-1,0.0336089134216,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
