xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,13,1,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367460012436,None,0,,2.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.513874053955,0.000902891159058,0.367460012436,1,s,1537.54127097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,13,2,54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.384588003159,None,0,,1.0,squarewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.514047861099,0.000874996185303,0.384588003159,1,a,1540.54474807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,13,3,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384639024734,None,0,,4.0,invertedtriangleyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514151096344,0.000879049301147,0.384639024734,1,s,1543.54852009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,14,0,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.40088391304,None,0,,4.0,invertedtriangleyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,0.5138630867,0.000877141952515,0.40088391304,1,q,1546.55152512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,14,1,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.467777967453,None,0,,1.0,squarewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.51420712471,0.000884056091309,0.467777967453,1,q,1549.55467606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,14,2,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384193897247,None,0,,2.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514662981033,0.000937938690186,0.384193897247,1,q,1552.55852509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,14,3,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.467742919922,None,0,,0.5,hexagongray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.513736963272,0.000886917114258,0.467742919922,1,q,1555.56205702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,15,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417813062668,None,0,,1.0,squarewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.513618946075,0.00124192237854,0.417813062668,1,w,1558.56521416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,15,1,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.35103392601,None,0,,2.0,triangleorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514284849167,0.000873804092407,0.334257125854,0,q,1561.56832099,2.19,0.515674829483,0.000943899154663,0.35103392601,1,a,1564.57205796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,15,2,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.451508998871,None,0,,0.5,hexagongray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.513695955276,0.000920057296753,0.451508998871,1,q,1567.57509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
