xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,resp.rt,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,16,1,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135.76473093,go,invertedtriangleyellow.gif,go,2.0,m,1,0.867953062057,None,0,0.000929117202759,0.515100955963,,2138.76768589,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,17,0,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.76815605,go,invertedtriangleyellow.gif,go,2.0,m,1,0.867718935013,None,0,0.000967979431152,0.515190839767,,2141.77091503,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,17,1,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.77142596,go,triangleblue.gif,go,1.0,None,0,,m,1,0.000919103622437,0.515173196793,,2144.77442408,,,,,,,,,,,,,,,,,,,-1,-1,0.116664886475,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.33542109,stop,lineorange.gif,stop,1.0,m,1,0.467461824417,None,0,0.000860929489136,0.510724067688,1.21127700806,2153.33457303,9,4.24112391472,,,,,,,,,,,,,,,,,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.33524203,go,diamondgray.gif,go,4.0,z,1,0.667985916138,None,0,0.000930786132812,0.513715982437,,2156.33735991,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156.33782291,go,circlemagenta.gif,go,0.5,z,1,0.800768852234,None,0,0.000931978225708,0.51544213295,,2159.34081101,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.34126997,go,diamondgray.gif,go,4.0,m,1,0.784509181976,None,0,0.00092601776123,0.514965057373,,2162.34426999,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.34487391,go,diamondgray.gif,go,4.0,z,1,0.834573984146,None,0,0.000942945480347,0.514654159546,,2165.34702897,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.34749508,go,circlemagenta.gif,go,0.5,z,1,0.851348876953,None,0,0.000929117202759,0.515434980392,,2168.35075808,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.35121703,go,diamondgray.gif,go,4.0,m,1,0.718225002289,None,0,0.000931024551392,0.515288114548,,2171.35450292,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1302,59.9858126816,LearningTask,1,61,
