xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,19,3,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334007024765,None,0,0.5,circleyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.51419210434,0.00092601776123,0.334007024765,1,w,1534.42163086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,20,0,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.33422088623,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.86,0.514063119888,0.000882148742676,0.33422088623,1,q,1537.42504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,20,1,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417123794556,None,0,1.0,crosswhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.514502048492,0.000882863998413,0.417123794556,1,w,1540.42854095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,20,2,82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384011030197,None,0,2.0,diamondblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.99,0.514093875885,0.00112986564636,0.384011030197,1,s,1543.43190289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,20,3,83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.401047945023,None,0,1.0,crosswhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.513360023499,0.00100994110107,0.401047945023,1,a,1546.43540502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,21,0,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.318165063858,None,0,2.0,hexagongray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.513669013977,0.000893115997314,0.318165063858,1,s,1549.43853188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,21,1,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.334110975266,None,0,1.0,invertedtrianglecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.513912916183,0.000930070877075,0.334110975266,1,s,1552.44172597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,21,2,86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434215068817,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.87,0.514285802841,0.000871896743774,0.434215068817,1,q,1555.44529605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,21,3,87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.334251880646,None,0,1.0,invertedtrianglecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.513949155807,0.000884056091309,0.334251880646,1,a,1558.44831586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,22,0,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.368074178696,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.99,0.51397395134,0.000944852828979,0.368074178696,1,a,1561.45179296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
